did,oid,eid,sid,ent,countveh,countveh_D,flow,flow_D,speed,speed_D,occupancy,occupancy_D,density,density_D,headway,headway_D
692,429,,0,4,16.0,-1.0,2880.0,-1.0,118.15307309251705,-1.0,15.996765845897537,-1.0,18.826970321564858,-1.0,1.236470625679916,-1.0
692,430,,0,4,19.0,-1.0,3420.0,-1.0,93.46494328953098,-1.0,27.73179589548806,-1.0,32.45277076255126,-1.0,1.0934925000694002,-1.0
692,431,,0,4,2.0,-1.0,360.0,-1.0,2.8205430487046215,-1.0,99.9999999999998,-1.0,113.83143401090862,-1.0,0.04337776685289546,-1.0
692,432,,0,4,2.0,-1.0,360.0,-1.0,0.950244768142511,-1.0,99.9999999999998,-1.0,116.28827861190052,-1.0,3.2292690287193535,-1.0
692,429,,1,4,16.0,-1.0,2880.0,-1.0,118.15307309251705,-1.0,15.52202786624844,-1.0,18.26824001698486,-1.0,1.236470625679916,-1.0
692,430,,1,4,19.0,-1.0,3420.0,-1.0,93.46494328953098,-1.0,27.73179589548806,-1.0,32.45277076255126,-1.0,1.0934925000694002,-1.0
692,431,,1,4,2.0,-1.0,360.0,-1.0,2.8205430487046215,-1.0,99.9999999999998,-1.0,113.83143401090862,-1.0,0.04337776685289546,-1.0
692,432,,1,4,2.0,-1.0,360.0,-1.0,0.950244768142511,-1.0,99.9999999999998,-1.0,116.28827861190052,-1.0,3.2292690287193535,-1.0
692,429,,2,4,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.5098479797595338,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,4,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,431,,2,4,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,4,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,5,18.0,-1.0,3240.0,-1.0,114.6403155717066,-1.0,13.100658033104764,-1.0,15.53653853259583,-1.0,1.1118860947752491,-1.0
692,430,,0,5,17.0,-1.0,3060.0,-1.0,98.72485914613472,-1.0,24.676120550599105,-1.0,29.21695313444837,-1.0,1.061155033078214,-1.0
692,431,,0,5,2.0,-1.0,360.0,-1.0,2.3023916902734527,-1.0,99.9999999999998,-1.0,112.017096016125,-1.0,3.4530259360660533,-1.0
692,432,,0,5,2.0,-1.0,360.0,-1.0,0.9502447738314004,-1.0,99.9999999999998,-1.0,116.34485018769152,-1.0,4.519007449529336,-1.0
692,429,,1,5,18.0,-1.0,3240.0,-1.0,114.6403155717066,-1.0,13.100658033104764,-1.0,15.53653853259583,-1.0,1.1118860947752491,-1.0
692,430,,1,5,17.0,-1.0,3060.0,-1.0,98.72485914613472,-1.0,24.676120550599105,-1.0,29.21695313444837,-1.0,1.061155033078214,-1.0
692,431,,1,5,2.0,-1.0,360.0,-1.0,2.3023916902734527,-1.0,99.9999999999998,-1.0,112.017096016125,-1.0,3.4530259360660533,-1.0
692,432,,1,5,2.0,-1.0,360.0,-1.0,0.9502447738314004,-1.0,99.9999999999998,-1.0,116.34485018769152,-1.0,4.519007449529336,-1.0
692,429,,2,5,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,5,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,431,,2,5,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,432,,2,5,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,429,,0,6,16.0,-1.0,2880.0,-1.0,112.48868951650084,-1.0,12.89727827634092,-1.0,15.271143735195135,-1.0,1.1014139985722942,-1.0
692,430,,0,6,18.0,-1.0,3240.0,-1.0,98.55068507226338,-1.0,26.523636848876524,-1.0,31.177663382449754,-1.0,1.00837882253088,-1.0
692,431,,0,6,2.0,-1.0,360.0,-1.0,1.7880028557324295,-1.0,99.9999999999998,-1.0,118.93988689298314,-1.0,0.7160457411918171,-1.0
692,432,,0,6,2.0,-1.0,360.0,-1.0,0.9502447738395858,-1.0,99.9999999999998,-1.0,120.23784640439833,-1.0,3.0007817364056355,-1.0
692,429,,1,6,16.0,-1.0,2880.0,-1.0,112.48868951650084,-1.0,12.89727827634092,-1.0,15.271143735195135,-1.0,1.1014139985722942,-1.0
692,430,,1,6,17.0,-1.0,3060.0,-1.0,97.56180162837695,-1.0,25.198141878397717,-1.0,29.618101587851353,-1.0,1.07140249893906,-1.0
692,431,,1,6,2.0,-1.0,360.0,-1.0,1.7880028557324295,-1.0,99.9999999999998,-1.0,118.93988689298314,-1.0,0.7160457411918171,-1.0
692,432,,1,6,2.0,-1.0,360.0,-1.0,0.9502447738395858,-1.0,99.9999999999998,-1.0,120.23784640439833,-1.0,3.0007817364056355,-1.0
692,429,,2,6,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
692,430,,2,6,1.0,-1.0,180.0,-1.0,115.36170361833274,-1.0,1.3254949704788044,-1.0,1.5594058476221229,-1.0,-1.0,-1.0
