pav,flow(veh/hr),speed(mph),density(veh/mile)
0.962962962963,4860.0,54.1027210161,89.9956137948
1.0,4500.0,29.4525920895,169.27647984
1.0,900.0,1.42119397598,189.294117647
1.0,1080.0,1.82805079174,189.294117647
1.0,1260.0,1.89233866051,189.294117647
1.0,1080.0,1.90204354358,189.294117647
1.0,1260.0,1.88779354253,189.294117647
1.0,1080.0,1.86253329798,189.294117647
1.0,1080.0,1.8597132937,189.294117647
1.0,1260.0,1.95878487998,189.294117647
1.0,1260.0,2.31931592804,189.294117647
1.0,1620.0,2.72423607463,189.294117647
1.0,1800.0,2.93560900463,189.294117647
1.0,1800.0,3.00545822026,189.294117647
1.0,1800.0,3.00961187615,189.294117647
1.0,1620.0,2.98748491324,189.294117647
1.0,1800.0,2.97914031422,189.294117647
1.0,1800.0,3.0129621149,189.294117647
1.0,1980.0,3.2330028825,189.294117647
1.0,2160.0,3.68423268684,189.294117647
1.0,2340.0,4.06104271524,189.294117647
1.0,2520.0,4.21217021596,189.294117647
1.0,2340.0,4.26784601089,189.294117647
1.0,2520.0,4.23963679779,189.294117647
1.0,2340.0,4.26455094225,189.294117647
1.0,2700.0,4.33216743992,189.294117647
1.0,2520.0,4.53997053749,189.294117647
1.0,2700.0,4.91176259988,189.294117647
1.0,2880.0,5.18933676419,189.294117647
1.0,3060.0,5.32526350435,189.294117647
1.0,3060.0,5.38305293084,189.294117647
1.0,3060.0,5.4322903327,189.294117647
1.0,3060.0,5.40290297046,189.294117647
1.0,3060.0,5.4469245847,189.294117647
1.0,3240.0,5.72482842153,189.294117647
1.0,3420.0,6.20349174361,189.294117647
1.0,3420.0,6.54754005489,189.294117647
1.0,3780.0,6.69921649577,189.294117647
1.0,3420.0,6.66159745441,189.294117647
1.0,3780.0,6.6477244744,189.294117647
1.0,3600.0,6.72460503699,189.294117647
1.0,3600.0,6.80387508526,189.294117647
1.0,3960.0,7.03956195239,189.294117647
1.0,3960.0,7.46452676188,189.294117647
1.0,4320.0,7.80550207967,189.294117647
1.0,4140.0,8.02967744407,189.294117647
1.0,4320.0,8.06514862769,189.294117647
1.0,4140.0,8.04171631635,189.294117647
1.0,4140.0,7.93675545888,189.294117647
0.95652173913,4140.0,7.82891584674,189.736349891
1.0,4320.0,7.97969142816,189.294117647
1.0,4320.0,8.47227305423,189.294117647
0.961538461538,4680.0,9.1491597473,189.360791831
0.961538461538,4680.0,9.61462292559,189.283351047
1.0,4680.0,9.64588298862,189.294117647
0.962962962963,4860.0,9.43869774088,189.669493499
1.0,4680.0,9.47487201217,189.294117647
0.96,4500.0,9.44449973329,189.548288097
1.0,5040.0,9.8687353669,189.294117647
0.962962962963,4860.0,10.5513111722,189.019792201
0.965517241379,5220.0,10.9975025999,189.257006341
1.0,5220.0,11.6638600369,189.294117647
1.0,5220.0,11.5703316193,189.294117647
1.0,5400.0,12.0674081388,189.294117647
1.0,5220.0,12.0642066517,189.294117647
0.928571428571,5040.0,13.7538643899,189.19238426
0.931034482759,5220.0,13.4249933277,189.417182316
0.967741935484,5580.0,14.3651543134,189.232373226
1.0,5580.0,13.71750467,189.294117647
1.0,5760.0,13.4923041103,189.294117647
1.0,5760.0,13.8212268034,189.294117647
1.0,5760.0,14.6068740542,189.294117647
1.0,5760.0,14.6473322071,189.294117647
1.0,6120.0,15.7857767376,189.294117647
1.0,6120.0,17.055902876,189.294117647
1.0,6120.0,19.7130487794,189.294117647
1.0,6120.0,23.5616099175,189.294117647
1.0,5760.0,28.5787003759,152.137459136
1.0,5760.0,39.665658307,142.026152387
1.0,5760.0,45.934334792,128.444151771
1.0,5580.0,50.8235736333,115.198903155
1.0,6120.0,56.317269383,108.768923261
1.0,5400.0,60.6096248027,92.5859930818
1.0,5940.0,67.5131750019,87.0874369521
1.0,5580.0,72.3015235487,79.986516554
1.0,5760.0,75.2033607123,75.1269907036
1.0,5580.0,75.4534616953,76.2585239989
1.0,5760.0,76.7041791242,75.130812233
1.0,5940.0,75.879018573,76.6670044042
1.0,5580.0,76.6655808244,74.7110942013
1.0,5760.0,77.0136730889,74.7992464625
1.0,5760.0,76.6054187195,73.3897002087
1.0,5760.0,76.80302999,76.9010036089
1.0,5940.0,77.0136730889,77.1364937691
1.0,6120.0,77.0136730889,77.5661345982
1.0,5940.0,77.0136730889,79.022102295
1.0,5940.0,77.0136730889,77.136493769
0.969696969697,5940.0,76.7493631886,76.0748172907
1.0,5580.0,74.9017465452,76.1613144958
1.0,5940.0,77.0136730889,77.1364937689
1.0,6120.0,77.0136730889,77.5661345983
0.8,900.0,1.61017325507,187.638601752
0.0,900.0,1.86371757065,187.74614547
0.5,1080.0,1.91617281599,191.11376494
0.5,1080.0,1.90721165994,188.460281463
1.0,1080.0,1.86923618878,189.294117647
0.833333333333,1080.0,1.86203372774,189.462380605
1.0,1260.0,1.8706404206,189.294117647
0.666666666667,1080.0,1.96692312895,191.364179792
0.571428571429,1260.0,2.32732994691,189.424872591
0.555555555556,1620.0,2.71327689333,189.486526557
0.625,1440.0,2.92254509274,190.532601686
0.7,1800.0,3.00305241654,189.968775814
0.666666666667,1620.0,3.02710599864,188.303367054
0.666666666667,1620.0,2.97034118091,189.728803323
0.666666666667,1620.0,2.96595192514,188.881047689
0.7,1800.0,2.98735356913,188.902011724
0.8,1800.0,3.05054198879,188.338134996
0.909090909091,1980.0,3.43694016934,189.921711696
0.545454545455,1980.0,3.91824262084,188.121896066
0.666666666667,2160.0,4.15342007707,188.331990604
0.454545454545,1980.0,4.22242975202,189.921690422
0.846153846154,2340.0,4.27287110485,189.751047701
0.769230769231,2340.0,4.21704392309,190.895635136
0.666666666667,2160.0,4.27842836805,188.936726509
0.857142857143,2520.0,4.28318577214,189.760431199
0.923076923077,2340.0,4.47590577682,189.343154327
0.461538461538,2340.0,4.81352267791,189.964322957
0.571428571429,2520.0,5.12941527419,191.583125199
0.733333333333,2700.0,5.29703072795,188.933088492
0.882352941176,3060.0,5.35744054988,189.292188146
0.5,2520.0,5.41194283226,190.690769401
0.6,2700.0,5.44475333868,189.726663396
0.9375,2880.0,5.37688183654,189.80187697
0.733333333333,2700.0,5.40564169042,188.771554027
0.6,2700.0,5.65034970043,189.150672377
0.588235294118,3060.0,6.07580757743,188.676661296
0.647058823529,3060.0,6.45460423124,189.612119049
0.833333333333,3240.0,6.68112231315,188.928256273
0.666666666667,3240.0,6.67295930887,188.824715033
0.777777777778,3240.0,6.65955966048,188.955956832
0.722222222222,3240.0,6.63630935735,189.094509807
0.722222222222,3240.0,6.75708599096,188.431091299
0.842105263158,3420.0,6.80644239391,188.966401495
0.8,3600.0,7.01032677324,188.527920035
0.952380952381,3780.0,7.43468938423,189.248497511
1.0,4320.0,7.79987739956,189.294117647
0.954545454545,3960.0,8.03094450415,189.351979816
0.958333333333,4320.0,8.0776850374,189.282417351
1.0,4320.0,8.04962507178,189.294117647
1.0,4140.0,7.96451809946,189.294117647
1.0,3960.0,7.80322710889,189.294117647
1.0,4140.0,7.79500939296,189.294117647
1.0,4500.0,8.3190626136,189.294117647
1.0,4680.0,9.02152549031,189.294117647
1.0,4680.0,9.41349912709,189.294117647
1.0,5040.0,9.52196759597,189.294117647
1.0,4860.0,9.32868314209,189.294117647
1.0,4500.0,9.07824829761,189.294117647
1.0,4860.0,9.10675232576,189.294117647
1.0,4860.0,9.49356555163,189.294117647
1.0,5040.0,10.0403904552,189.294117647
1.0,5220.0,10.4338430094,189.294117647
1.0,5400.0,10.5744089268,189.294117647
