timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,0.0,0.0
80.0,0.0,0.0
100.0,77.1942697943,2.0
120.0,72.3688288571,6.0
140.0,66.8825405275,19.0
160.0,69.0002716722,20.0
180.0,69.405784385,14.0
200.0,63.4019203609,20.0
220.0,61.7308496219,21.0
240.0,66.5729007359,19.0
260.0,60.8763998531,20.0
280.0,71.472929657,17.0
300.0,64.5754241727,18.0
320.0,64.7398356161,24.0
340.0,66.6308010236,11.0
360.0,66.282348819,20.0
380.0,65.4020748678,20.0
400.0,67.5630921949,17.0
420.0,66.910746147,17.0
440.0,65.4010293581,16.0
460.0,65.2182173958,16.0
480.0,60.257914884,15.0
500.0,60.1684480258,20.0
520.0,60.1900996403,22.0
540.0,67.5360411227,18.0
560.0,69.3484863375,17.0
580.0,70.4009374146,18.0
600.0,65.8987739228,14.0
620.0,57.774138668,21.0
640.0,68.2746772327,14.0
660.0,71.2889245522,12.0
680.0,69.1936996987,15.0
700.0,66.9022841658,19.0
720.0,67.427561559,19.0
740.0,68.4586531431,17.0
760.0,66.4454884131,18.0
780.0,67.1936972493,17.0
800.0,69.7835349105,13.0
820.0,66.5145451897,19.0
840.0,65.3339763283,17.0
860.0,66.3623641925,14.0
880.0,58.4467994096,18.0
900.0,58.5361092949,13.0
920.0,59.5120277627,19.0
940.0,59.0949456057,16.0
960.0,48.1597205898,20.0
980.0,42.8011778396,16.0
1000.0,31.5543279768,16.0
1020.0,14.272693735,9.0
1040.0,0.576246563718,2.0
1060.0,0.872798942479,2.0
1080.0,1.13392533266,2.0
1100.0,0.518483315991,2.0
1120.0,0.569879462601,2.0
1140.0,0.599667724595,3.0
1160.0,0.595883876867,2.0
1180.0,0.595884111549,2.0
1200.0,0.595884385115,2.0
1220.0,0.595887815138,2.0
1240.0,0.595992079895,2.0
1260.0,0.596329127532,2.0
1280.0,0.596535047816,2.0
1300.0,0.596636694154,2.0
1320.0,0.59856564981,2.0
1340.0,0.591776992188,2.0
1360.0,0.635702309138,2.0
1380.0,0.695927470117,2.0
1400.0,0.797485622964,2.0
1420.0,1.64254248881,2.0
1440.0,0.661637310775,2.0
1460.0,0.626297363206,2.0
1480.0,0.622846321186,2.0
1500.0,0.63651327029,2.0
1520.0,0.682187462389,2.0
1540.0,0.430629076164,2.0
1560.0,2.32494765825,4.0
1580.0,5.41906250088,13.0
1600.0,7.67788412161,17.0
1620.0,9.26741069489,18.0
1640.0,10.0094430672,20.0
1660.0,10.3522980117,20.0
1680.0,10.505728081,20.0
1700.0,10.502681234,21.0
1720.0,10.5596263574,18.0
1740.0,10.6447816429,22.0
1760.0,10.6777756316,20.0
1780.0,10.796060764,20.0
1800.0,10.8937454656,19.0
1820.0,11.0100575718,21.0
1840.0,11.1292256644,19.0
1860.0,11.1854166398,20.0
1880.0,11.1905932542,20.0
1900.0,11.1039723253,20.0
1920.0,10.9608559084,20.0
1940.0,10.7824378526,20.0
1960.0,10.6504313765,18.0
1980.0,10.5964070578,19.0
2000.0,10.5689873815,19.0
2020.0,10.5227779015,19.0
2040.0,10.4475107572,19.0
2060.0,10.3569798346,18.0
2080.0,10.2754135149,20.0
2100.0,10.334286271,21.0
2120.0,10.3965743202,19.0
2140.0,10.4929849852,20.0
2160.0,10.5434208798,20.0
2180.0,10.6387340095,20.0
2200.0,10.6955025544,21.0
2220.0,10.8247424137,20.0
2240.0,10.9228053679,21.0
2260.0,11.0286448331,20.0
2280.0,11.0695128376,21.0
2300.0,11.0186405267,21.0
2320.0,10.8638518905,20.0
2340.0,10.638526957,20.0
2360.0,10.4587491822,20.0
2380.0,10.4403269336,19.0
2400.0,10.4870687027,18.0
2420.0,10.6023060898,19.0
2440.0,10.6860874378,22.0
2460.0,10.7376408635,21.0
2480.0,10.7540935921,20.0
2500.0,10.7187601058,20.0
2520.0,10.693701832,20.0
2540.0,10.6690988637,19.0
2560.0,10.6598188265,20.0
2580.0,10.498379537,20.0
2600.0,10.5083157926,20.0
2620.0,10.4912586294,23.0
2640.0,10.6098508233,24.0
2660.0,10.7642243302,22.0
2680.0,11.2586898077,23.0
2700.0,11.9087600744,21.0
2720.0,12.5639720981,23.0
2740.0,13.1666624969,23.0
2760.0,13.7062261441,25.0
2780.0,14.2420604976,28.0
2800.0,14.7076390522,25.0
2820.0,15.0499211574,25.0
2840.0,15.1321698525,26.0
2860.0,15.3776619008,22.0
2880.0,15.5632090718,23.0
2900.0,15.7115486158,26.0
2920.0,15.8014575268,22.0
2940.0,15.9070356917,23.0
2960.0,16.1187369902,25.0
2980.0,16.1228070464,25.0
3000.0,16.2283832327,24.0
3020.0,16.321548845,25.0
3040.0,16.3814056983,24.0
3060.0,16.4673298081,22.0
3080.0,16.602196867,26.0
3100.0,16.685375848,26.0
3120.0,16.7646691358,24.0
3140.0,16.7149337537,24.0
3160.0,16.7682073952,24.0
3180.0,16.9047450087,23.0
3200.0,16.8503896423,26.0
3220.0,16.9734308905,24.0
3240.0,17.0003853514,24.0
3260.0,16.9767996192,25.0
3280.0,17.0995995074,24.0
3300.0,17.1584049945,25.0
3320.0,17.1701004016,24.0
3340.0,17.3119519521,24.0
3360.0,17.2115397884,25.0
3380.0,17.3637489009,26.0
3400.0,17.3410278564,25.0
3420.0,17.4402433005,24.0
3440.0,17.6695638283,25.0
3460.0,17.5414935174,24.0
3480.0,17.6586395014,24.0
3500.0,17.5643197039,23.0
3520.0,17.5800533043,24.0
3540.0,17.544381093,22.0
3560.0,17.5289132359,22.0
3580.0,17.6927912368,24.0
3600.0,17.6209150403,22.0
