timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,2700.0,72.1704210926
40.0,0.0,3240.0,72.3718531686
60.0,0.0,2880.0,73.9065623494
80.0,0.0,3060.0,69.2075583253
100.0,0.0,2880.0,72.6136073109
120.0,0.0,2880.0,72.0881043229
140.0,0.0,3240.0,73.4679143806
160.0,0.0,2700.0,69.3939501198
180.0,0.0,3240.0,71.5370000057
200.0,0.0,2880.0,71.4723344954
220.0,0.0,3240.0,69.1027542628
240.0,0.0,2700.0,70.6342168651
260.0,0.0,3240.0,69.6184322648
280.0,0.0,2880.0,71.2923665817
300.0,0.0,3240.0,69.4314275416
320.0,0.0,2880.0,69.72566355
340.0,0.0,3240.0,72.0881220142
360.0,0.0,2880.0,71.0584032934
380.0,0.0,3240.0,72.7603660422
400.0,0.0,2880.0,68.1824416458
420.0,0.0,3240.0,74.8810511336
440.0,0.0,2700.0,73.2645995616
460.0,0.0,3060.0,72.1075295485
480.0,0.0,3060.0,67.6221067243
500.0,0.0,2880.0,72.208992722
520.0,0.0,3240.0,73.1477499283
540.0,0.0,2880.0,74.6291427415
560.0,0.0,3060.0,69.7573057492
580.0,0.0,3060.0,72.5147103713
600.0,0.0,2880.0,72.8655731412
620.0,0.0,3060.0,65.7834166148
640.0,0.0,2700.0,72.0308593565
660.0,0.0,3240.0,73.3705104448
680.0,0.0,2880.0,72.4852589366
700.0,0.0,3240.0,71.3841039885
720.0,0.0,2880.0,73.023401795
740.0,0.0,3240.0,70.6336977685
760.0,0.0,2880.0,71.9727221073
780.0,0.0,3240.0,68.6878132401
800.0,0.0,2880.0,71.1936503905
820.0,0.0,3240.0,70.4655682468
840.0,0.0,2880.0,69.0341070476
860.0,0.0,3240.0,70.1416830023
880.0,0.0,2880.0,71.8076211757
900.0,0.0,2880.0,68.8749996631
920.0,0.0,3240.0,68.5942503446
940.0,0.0,2880.0,72.9050571233
960.0,0.0,3240.0,71.2229410379
980.0,0.0,2880.0,66.3450190748
1000.0,0.0,3060.0,71.160558537
1020.0,0.0,3060.0,72.2703208952
1040.0,0.0,2880.0,66.9497925374
1060.0,0.0,3240.0,71.3358951063
1080.0,0.0,2880.0,71.7306939154
1100.0,0.0,2700.0,70.5445237796
1120.0,0.0,3240.0,70.616186977
1140.0,0.0,2880.0,69.9616603718
1160.0,0.0,3240.0,71.8322921487
1180.0,0.0,2880.0,67.8232894441
1200.0,0.0,3240.0,65.528112662
1220.0,0.0,2880.0,70.6293619162
1240.0,0.0,2880.0,72.9805735486
1260.0,0.0,3060.0,72.8419081531
1280.0,0.0,2880.0,72.9129778583
1300.0,0.0,3240.0,71.104282746
1320.0,0.0,2880.0,69.6225992839
1340.0,0.0,2880.0,63.9845594988
1360.0,0.0,3240.0,64.7942547825
1380.0,0.0,2880.0,71.6556200106
1400.0,0.0,3060.0,68.7366151048
1420.0,0.0,2700.0,71.8044567329
1440.0,0.0,2880.0,70.3285768798
1460.0,0.0,3240.0,65.942036897
1480.0,0.0,2880.0,72.3036603716
1500.0,0.0,3240.0,75.0956962753
1520.0,0.0,2880.0,70.5239334614
1540.0,0.0,3240.0,70.0501523064
1560.0,0.0,2880.0,66.1961664964
1580.0,0.0,2880.0,73.1403571745
1600.0,0.0,3060.0,71.4960497051
1620.0,0.0,2880.0,68.9583453698
1640.0,0.0,3240.0,73.935731732
1660.0,0.0,2880.0,69.737430135
1680.0,0.0,2880.0,65.4240855005
1700.0,0.0,3060.0,70.8498108979
1720.0,0.0,2880.0,71.6301296576
1740.0,0.0,3240.0,70.1457437102
1760.0,0.0,2880.0,71.9154530986
1780.0,0.0,3060.0,70.3617454864
1800.0,0.0,2880.0,70.1525784018
1820.0,0.0,3060.0,70.0227706223
1840.0,0.0,2880.0,68.4187746361
1860.0,0.0,2880.0,66.1578958281
1880.0,0.0,3240.0,63.8712623334
1900.0,0.0,2880.0,70.950397874
1920.0,0.0,3240.0,73.2789550835
1940.0,0.0,2700.0,69.8867944005
1960.0,0.0,3240.0,72.1599993962
1980.0,0.0,2880.0,69.5425878353
2000.0,0.0,2880.0,64.2269740231
2020.0,0.0,3240.0,71.9905661421
