timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,69.8899863335,3.0
80.0,62.3226369652,15.0
100.0,65.9026833693,17.0
120.0,69.1757570095,19.0
140.0,63.2745528553,13.0
160.0,64.8637002561,18.0
180.0,65.2640109335,19.0
200.0,64.7635943273,18.0
220.0,66.7350792014,17.0
240.0,67.5292474847,15.0
260.0,66.4853072836,18.0
280.0,69.0348859166,16.0
300.0,67.1145789928,16.0
320.0,67.3255910564,16.0
340.0,63.096227479,16.0
360.0,59.7520527365,18.0
380.0,67.720158495,19.0
400.0,69.6636925585,16.0
420.0,67.3007834509,16.0
440.0,68.0346928609,18.0
460.0,60.0499276931,16.0
480.0,63.5234192394,19.0
500.0,67.7990654202,16.0
520.0,65.250608113,17.0
540.0,69.3185943184,19.0
560.0,70.0300182551,19.0
580.0,73.4694267821,18.0
600.0,74.524964516,16.0
620.0,71.6845777324,13.0
640.0,61.4508944923,17.0
660.0,62.035666755,16.0
680.0,67.2695008198,16.0
700.0,67.6344809012,16.0
720.0,55.2274148241,19.0
740.0,68.6018355718,16.0
760.0,67.1001218147,19.0
780.0,70.8743131216,15.0
800.0,66.2939755625,18.0
820.0,67.6666653633,14.0
840.0,67.3662416187,18.0
860.0,67.8495018608,20.0
880.0,67.7886863357,10.0
900.0,57.6317387409,18.0
920.0,55.2020496053,22.0
940.0,61.1771087338,18.0
960.0,70.8400583947,18.0
980.0,67.7050096608,15.0
1000.0,67.4428057912,16.0
1020.0,63.5065179603,17.0
1040.0,67.4695568556,14.0
1060.0,66.5685564756,18.0
1080.0,68.3162619419,20.0
1100.0,74.9793854032,17.0
1120.0,72.3174886968,19.0
1140.0,67.0190264386,15.0
1160.0,63.706449735,17.0
1180.0,61.7790688187,19.0
1200.0,66.4753280929,17.0
1220.0,67.5957100446,18.0
1240.0,69.5222569856,16.0
1260.0,72.2984694078,15.0
1280.0,69.1623116894,18.0
1300.0,67.1212587774,16.0
1320.0,66.4043274124,16.0
1340.0,64.6411978809,18.0
1360.0,65.7252294284,19.0
1380.0,67.323869637,14.0
1400.0,62.7119163614,17.0
1420.0,64.8217603979,15.0
1440.0,62.9353084911,21.0
1460.0,64.3897144638,16.0
1480.0,67.9660461889,21.0
1500.0,70.7489985932,15.0
1520.0,67.0924192205,17.0
1540.0,65.3422488887,17.0
1560.0,65.3949593799,17.0
1580.0,65.9019682905,17.0
1600.0,58.7214249124,16.0
1620.0,67.6065341558,14.0
1640.0,64.8932099389,20.0
1660.0,61.9260449041,17.0
1680.0,57.7563757682,18.0
1700.0,47.6144059927,16.0
1720.0,42.4279463372,17.0
1740.0,29.0184330654,13.0
1760.0,12.8826009739,10.0
1780.0,2.57921504433,1.0
1800.0,1.62454714434,1.0
1820.0,3.51922978037,2.0
1840.0,3.91599652182,3.0
1860.0,0.0,0.0
1880.0,2.997858793,2.0
1900.0,1.58590666501,4.0
1920.0,4.87847968874,1.0
1940.0,11.3325393534,11.0
1960.0,11.4597406485,15.0
1980.0,13.7707718088,20.0
2000.0,13.2344655569,18.0
2020.0,13.331775283,20.0
2040.0,13.8303953715,19.0
2060.0,14.0670240438,21.0
2080.0,13.97827776,20.0
2100.0,13.1564728116,20.0
2120.0,12.2258105275,21.0
2140.0,11.2347896047,18.0
2160.0,10.8657872432,19.0
2180.0,10.8620199393,19.0
2200.0,10.9195206128,19.0
2220.0,10.9557928028,18.0
2240.0,10.9712194712,19.0
2260.0,10.9709558803,19.0
2280.0,10.9676634486,19.0
2300.0,10.953000973,18.0
2320.0,10.9293565352,19.0
2340.0,10.9060834635,19.0
2360.0,10.8637190541,18.0
2380.0,10.8426416215,20.0
2400.0,10.8129489779,18.0
2420.0,10.786190875,19.0
2440.0,10.7484822592,17.0
2460.0,10.7241586212,19.0
2480.0,10.6857560249,18.0
2500.0,10.6556644303,18.0
2520.0,10.6460195187,19.0
2540.0,10.6030203253,19.0
2560.0,10.6110417224,18.0
2580.0,10.6400578692,20.0
2600.0,10.6264455877,19.0
2620.0,10.6305568957,21.0
2640.0,10.646490683,17.0
2660.0,10.6660854492,19.0
2680.0,10.6862605876,20.0
2700.0,10.7316953455,19.0
2720.0,10.7518322837,19.0
2740.0,10.7907331141,19.0
2760.0,10.8031719864,20.0
2780.0,10.7652106343,20.0
2800.0,10.6940585261,19.0
2820.0,10.6515631683,20.0
2840.0,10.5619059923,19.0
2860.0,10.4950151192,20.0
2880.0,10.4838321304,20.0
2900.0,10.5163546038,21.0
2920.0,10.5519591912,20.0
2940.0,10.5545529468,20.0
2960.0,10.5587531984,19.0
2980.0,10.5556923435,20.0
3000.0,10.5638308743,19.0
3020.0,10.5966221618,21.0
3040.0,10.7617197287,19.0
3060.0,10.9794960882,20.0
3080.0,11.3071562995,20.0
3100.0,11.698197096,21.0
3120.0,12.0635347286,22.0
3140.0,12.4551433042,22.0
3160.0,12.7648948641,22.0
3180.0,13.287818242,21.0
3200.0,15.763562226,21.0
3220.0,25.8855837595,19.0
3240.0,35.1332310581,19.0
3260.0,48.1400931968,18.0
3280.0,53.6506097563,13.0
3300.0,57.5953905746,17.0
3320.0,55.417764134,22.0
3340.0,61.5779268324,14.0
3360.0,67.8507237249,18.0
3380.0,68.7161782497,18.0
3400.0,70.899431021,16.0
3420.0,62.1814940794,20.0
3440.0,65.8417715774,16.0
3460.0,67.087131073,13.0
3480.0,65.9522141622,19.0
3500.0,66.6097584482,17.0
3520.0,63.7243006418,17.0
3540.0,61.5013806469,18.0
3560.0,65.8395684653,17.0
3580.0,62.9426061486,21.0
3600.0,56.7508981795,19.0
