timestamps(s), speed (mph), count
20.0,77.0605497735,24.0
40.0,74.3453443014,28.0
60.0,68.4101765204,27.0
80.0,72.5405539952,25.0
100.0,72.2997379202,27.0
120.0,72.6720229518,24.0
140.0,70.4265346861,24.0
160.0,72.7465584112,26.0
180.0,72.0047991677,26.0
200.0,72.876545292,26.0
220.0,72.0298436244,25.0
240.0,67.8386477928,26.0
260.0,63.3580973741,27.0
280.0,69.9452458795,26.0
300.0,73.0963416506,28.0
320.0,76.1812064244,35.0
340.0,76.6335720186,31.0
360.0,76.99706355,36.0
380.0,76.99706355,35.0
400.0,76.5576980365,34.0
420.0,76.99706355,36.0
440.0,76.99706355,35.0
460.0,76.99706355,36.0
480.0,76.99706355,35.0
500.0,76.99706355,33.0
520.0,76.99706355,36.0
540.0,76.99706355,35.0
560.0,76.99706355,35.0
580.0,77.0408554229,33.0
600.0,76.99706355,36.0
620.0,65.277541327,28.0
640.0,72.9725690024,28.0
660.0,72.7930486375,24.0
680.0,70.0152835576,24.0
700.0,69.3248764537,27.0
720.0,71.0339625255,24.0
740.0,70.1877331334,24.0
760.0,76.4180597715,24.0
780.0,73.7117562572,25.0
800.0,70.8762115944,23.0
820.0,72.4705986958,25.0
840.0,67.2078960049,22.0
860.0,70.5708265827,24.0
880.0,74.2856758467,24.0
900.0,76.3134760752,25.0
920.0,74.8432220533,23.0
940.0,76.2879508374,23.0
960.0,74.0948988568,23.0
980.0,75.4990618124,23.0
1000.0,73.4896641129,24.0
1020.0,71.6358042019,27.0
1040.0,72.8500790758,26.0
1060.0,69.4800616902,23.0
1080.0,74.6499628422,26.0
1100.0,73.5838475964,23.0
1120.0,70.0597579909,26.0
1140.0,66.9589293868,28.0
1160.0,67.1232539248,24.0
1180.0,71.7015153236,26.0
1200.0,68.6094713066,26.0
1220.0,75.2867775447,28.0
1240.0,69.9680520328,24.0
1260.0,64.7906962705,25.0
1280.0,69.3473833945,24.0
1300.0,70.4801587324,20.0
1320.0,69.4710156881,18.0
1340.0,70.0091060368,21.0
1360.0,75.0297027052,20.0
1380.0,66.3612934533,19.0
1400.0,67.6465253712,21.0
1420.0,71.6308955174,20.0
1440.0,67.5347982123,20.0
1460.0,70.7383165498,21.0
1480.0,69.0131989611,19.0
1500.0,66.8592074346,17.0
1520.0,68.7441291282,16.0
1540.0,69.1401925227,20.0
1560.0,66.7846143193,18.0
1580.0,64.6711312657,19.0
1600.0,58.9573814863,18.0
1620.0,43.4721932478,19.0
1640.0,22.6753851241,17.0
1660.0,0.0,0.0
1680.0,0.0,0.0
1700.0,0.0,0.0
1720.0,11.057622432,4.0
1740.0,14.7466403904,16.0
1760.0,0.0,0.0
1780.0,0.0,0.0
1800.0,0.0,0.0
1820.0,0.0,0.0
1840.0,0.0,0.0
1860.0,0.0,0.0
1880.0,0.0,0.0
1900.0,0.0,0.0
1920.0,0.0,0.0
1940.0,20.1070427332,20.0
1960.0,40.8274047628,19.0
1980.0,61.2344501291,17.0
2000.0,68.9401184423,18.0
2020.0,70.8566142667,18.0
2040.0,66.3283490216,19.0
2060.0,71.6554807587,20.0
2080.0,71.9509903984,17.0
2100.0,63.5867852871,18.0
2120.0,65.0498111801,20.0
2140.0,71.2082513335,20.0
2160.0,70.5876356672,21.0
2180.0,71.2714915581,20.0
2200.0,72.6502884412,22.0
2220.0,70.2094471513,18.0
2240.0,73.1183976089,19.0
2260.0,69.7705014952,20.0
2280.0,69.3379874489,20.0
2300.0,71.0395179679,20.0
2320.0,64.4288044722,17.0
2340.0,69.1548752645,19.0
2360.0,65.0144933458,16.0
2380.0,69.2138397052,18.0
2400.0,67.3499656703,19.0
2420.0,71.1863648412,18.0
2440.0,70.4540769157,19.0
2460.0,68.9718197981,17.0
2480.0,64.4349683407,17.0
2500.0,72.1360057258,20.0
2520.0,66.5597062113,19.0
2540.0,71.0900988255,19.0
2560.0,71.686914723,19.0
2580.0,63.4474809483,18.0
2600.0,62.8530138232,19.0
2620.0,71.3993324547,19.0
2640.0,68.0709421011,18.0
2660.0,71.119686009,20.0
2680.0,73.6850263184,18.0
2700.0,76.3594300998,17.0
2720.0,70.93850543,23.0
2740.0,74.5112403217,25.0
2760.0,71.9584357887,24.0
2780.0,70.8418164792,25.0
2800.0,68.4944897027,22.0
2820.0,69.6339836588,25.0
2840.0,71.5261957473,25.0
2860.0,72.0894691227,22.0
2880.0,63.1703773661,20.0
2900.0,69.765692176,24.0
2920.0,71.6265337152,22.0
2940.0,74.8475495978,24.0
2960.0,68.0597439391,23.0
2980.0,70.4076601152,23.0
3000.0,76.3333542864,25.0
3020.0,67.6173566907,16.0
3040.0,70.6222143945,18.0
3060.0,68.9831804316,17.0
3080.0,61.0913288815,17.0
3100.0,64.3185983708,17.0
3120.0,69.3744558157,18.0
3140.0,68.4050266785,17.0
3160.0,67.4772849449,16.0
3180.0,69.7663391038,18.0
3200.0,66.7334237721,17.0
3220.0,64.7987394887,17.0
3240.0,71.536849986,17.0
3260.0,66.0041944709,16.0
3280.0,71.6856993727,19.0
3300.0,68.42665313,17.0
3320.0,70.8413176231,18.0
3340.0,61.9536733561,16.0
3360.0,65.1318922729,18.0
3380.0,67.3669310008,17.0
3400.0,71.3102691065,18.0
3420.0,68.5510476275,18.0
3440.0,70.9697066656,15.0
3460.0,66.4247339394,19.0
3480.0,68.1166385508,18.0
3500.0,70.3200255788,20.0
3520.0,73.0019675857,17.0
3540.0,66.8031746476,18.0
3560.0,65.6676896483,17.0
3580.0,67.9914034474,19.0
3600.0,69.936021222,18.0
