timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,0.0,-0.621504039776
40.0,0.0,0.0,-0.621504039776
60.0,1.0,900.0,77.009387486
80.0,0.636363636364,3960.0,71.1445510686
100.0,0.727272727273,3960.0,70.899391895
120.0,0.608695652174,4140.0,70.6166118905
140.0,0.666666666667,3240.0,68.9559510005
160.0,0.65,3600.0,66.2258091646
180.0,0.590909090909,3960.0,64.3443417482
200.0,0.647058823529,3060.0,70.3125407234
220.0,0.681818181818,3960.0,64.6850156263
240.0,0.684210526316,3420.0,68.1176947359
260.0,0.772727272727,3960.0,70.4102306139
280.0,0.6,3600.0,64.2298728072
300.0,0.8,3600.0,71.6311063241
320.0,0.619047619048,3780.0,69.266017417
340.0,0.545454545455,3960.0,65.940120431
360.0,0.6875,2880.0,71.0060535441
380.0,0.142857142857,3780.0,67.527199713
400.0,0.0625,2880.0,70.040999531
420.0,0.133333333333,2700.0,69.3962874489
440.0,0.0526315789474,3420.0,68.9059879223
460.0,0.105263157895,3420.0,68.1220902467
480.0,0.0,2340.0,67.7304080897
500.0,0.0,3060.0,67.6476538856
520.0,0.0,3060.0,62.0938150176
540.0,0.125,2880.0,62.3936260805
560.0,0.157894736842,3420.0,68.1105897444
580.0,0.0666666666667,2700.0,71.3957059191
600.0,0.0,2880.0,69.3120973705
620.0,0.0,3060.0,68.9768638397
640.0,0.0,2880.0,67.2202388553
660.0,0.388888888889,3240.0,70.0642153374
680.0,0.611111111111,3240.0,70.8876793423
700.0,0.55,3600.0,68.3977366446
720.0,0.65,3600.0,71.5431126265
740.0,0.588235294118,3060.0,72.0383625201
760.0,0.428571428571,2520.0,71.0152770119
780.0,0.636363636364,3960.0,71.1335532086
800.0,0.333333333333,2700.0,69.9231890591
820.0,0.611111111111,3240.0,70.0784826471
840.0,0.5,3960.0,72.796746699
860.0,0.666666666667,3240.0,71.8720981342
880.0,0.526315789474,3420.0,70.7459738065
900.0,0.588235294118,3060.0,72.9593637231
920.0,0.588235294118,3060.0,75.4689727404
940.0,0.578947368421,3420.0,72.175170814
960.0,0.6,2700.0,69.094400539
980.0,0.636363636364,3960.0,69.1413055568
1000.0,0.526315789474,3420.0,71.8873608128
1020.0,0.526315789474,3420.0,66.6192323724
1040.0,0.555555555556,3240.0,71.1148640695
1060.0,0.55,3600.0,70.3532356678
1080.0,0.5,2880.0,69.3643008924
1100.0,0.52380952381,3780.0,73.5440960521
1120.0,0.466666666667,2700.0,75.1199429712
1140.0,0.52380952381,3780.0,68.5679543122
1160.0,0.470588235294,3060.0,69.4466550991
1180.0,0.555555555556,3240.0,71.5643220849
1200.0,0.5,3240.0,68.8650952028
1220.0,0.615384615385,2340.0,68.3183131638
1240.0,0.521739130435,4140.0,65.8486025327
1260.0,0.428571428571,2520.0,70.6854186436
1280.0,0.263157894737,3420.0,67.3096363427
1300.0,0.214285714286,2520.0,65.8940629728
1320.0,0.105263157895,3420.0,65.1104728938
1340.0,0.1,3600.0,56.7194790874
1360.0,0.357142857143,2520.0,62.1123209699
1380.0,0.3,3600.0,66.1186031213
1400.0,0.125,2880.0,67.2840957649
1420.0,0.1875,2880.0,69.8319963277
1440.0,0.210526315789,3420.0,66.5668540696
1460.0,0.2,2700.0,67.3065784623
1480.0,0.25,3600.0,63.6627137021
1500.0,0.125,2880.0,64.5886387936
1520.0,0.1875,2880.0,65.0830653325
1540.0,0.333333333333,3240.0,60.8005812966
1560.0,0.35,3600.0,59.8828079698
1580.0,0.971428571429,6300.0,69.9140483733
1600.0,1.0,4500.0,75.9838467226
1620.0,1.0,4320.0,66.7424348979
1640.0,1.0,4320.0,48.9958008702
1660.0,1.0,3240.0,23.406124706
1680.0,1.0,360.0,0.755381007211
1700.0,1.0,900.0,2.59783901058
1720.0,1.0,1980.0,6.10140065977
1740.0,1.0,2880.0,7.81186211522
1760.0,1.0,3960.0,8.45644122791
1780.0,1.0,4860.0,9.50436522945
1800.0,1.0,5040.0,10.2328011981
1820.0,1.0,5220.0,10.5384466707
1840.0,1.0,5580.0,10.6394044845
1860.0,1.0,5220.0,10.6902242009
1880.0,1.0,5400.0,10.750230752
1900.0,0.708333333333,4320.0,10.7953709126
1920.0,0.3,3600.0,10.7823925463
1940.0,0.333333333333,3780.0,10.7073590641
1960.0,0.2,3600.0,10.6832023036
1980.0,0.3,3600.0,10.5618522484
2000.0,0.315789473684,3420.0,10.5471400987
2020.0,0.3,3600.0,10.5511044849
2040.0,0.333333333333,3780.0,10.6898929425
2060.0,0.25,3600.0,10.919880472
2080.0,0.3,3600.0,11.2161929582
2100.0,0.3,3600.0,12.8568012437
2120.0,0.333333333333,3780.0,14.5089307741
2140.0,0.3,3600.0,16.0785110295
2160.0,0.35,3600.0,18.9916521086
2180.0,0.684210526316,3420.0,26.581076818
2200.0,0.571428571429,3780.0,33.9308670718
2220.0,0.652173913043,4140.0,42.2708198175
2240.0,0.681818181818,3960.0,47.6349063934
2260.0,0.681818181818,3960.0,50.4563386598
2280.0,0.611111111111,3240.0,52.6967529436
2300.0,0.75,3600.0,58.6251995475
2320.0,0.619047619048,3780.0,62.4330142723
2340.0,0.666666666667,4320.0,63.6521429964
2360.0,0.695652173913,4140.0,63.875837406
2380.0,0.727272727273,3960.0,63.5144936396
2400.0,0.578947368421,3420.0,67.9149333351
2420.0,0.684210526316,3420.0,72.0564784792
2440.0,0.75,3600.0,73.5859550194
2460.0,0.428571428571,3780.0,65.1499689249
2480.0,0.0769230769231,2340.0,69.3827256231
2500.0,0.15,3600.0,65.6562033695
2520.0,0.1875,2880.0,66.9175383077
2540.0,0.142857142857,2520.0,68.4962027381
