timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,0.0,0.0
80.0,0.0,0.0
100.0,0.0,0.0
120.0,0.0,0.0
140.0,0.0,0.0
160.0,73.4460709853,8.0
180.0,70.6719762098,15.0
200.0,69.6217478782,15.0
220.0,70.8793644188,11.0
240.0,59.5823886549,25.0
260.0,51.9930490005,12.0
280.0,39.8384309871,16.0
300.0,19.9540544593,16.0
320.0,0.64093010798,2.0
340.0,0.617556351952,2.0
360.0,0.623091513391,3.0
380.0,0.617558564416,2.0
400.0,0.617558564416,2.0
420.0,0.617558564421,2.0
440.0,0.611770292488,3.0
460.0,0.589610488421,2.0
480.0,0.589674528279,2.0
500.0,0.617534595897,2.0
520.0,0.617558568363,2.0
540.0,0.617558564416,2.0
560.0,0.617558564416,2.0
580.0,0.617558564416,2.0
600.0,0.609527057963,2.0
620.0,0.609534141618,2.0
640.0,0.609534141531,2.0
660.0,0.609534141536,2.0
680.0,0.609534141531,2.0
700.0,0.607250802279,2.0
720.0,0.607250821159,2.0
740.0,0.607250821154,2.0
760.0,0.607250821154,2.0
780.0,0.610870069297,3.0
800.0,0.607250821154,2.0
820.0,0.607250821154,2.0
840.0,0.607250821154,2.0
860.0,0.607250821154,2.0
880.0,0.607250821159,2.0
900.0,0.603631573015,3.0
920.0,0.607250821154,2.0
940.0,0.607250821159,2.0
960.0,0.607250821159,2.0
980.0,0.607250821159,2.0
1000.0,0.615663315405,2.0
1020.0,0.620488830495,2.0
1040.0,0.620489325682,2.0
1060.0,0.620489325641,2.0
1080.0,0.620489325636,2.0
1100.0,0.628521408606,3.0
1120.0,0.624956524711,2.0
1140.0,0.625102044668,2.0
1160.0,0.623099895623,2.0
1180.0,0.623100038957,2.0
1200.0,0.623100038988,2.0
1220.0,1.5811745151,3.0
1240.0,8.8403627444,20.0
1260.0,10.9195369521,21.0
1280.0,11.3616447022,23.0
1300.0,11.0666810815,24.0
1320.0,10.3594557838,21.0
1340.0,10.0953558499,24.0
1360.0,10.94977323,21.0
1380.0,10.394768069,23.0
1400.0,10.3886902954,22.0
1420.0,10.7164501025,23.0
1440.0,10.4165369471,20.0
1460.0,10.437674542,22.0
1480.0,10.7356568785,24.0
1500.0,10.7855483186,21.0
1520.0,10.5424047449,24.0
1540.0,10.9337963901,23.0
1560.0,10.4487585759,22.0
1580.0,10.7670868884,23.0
1600.0,10.8369206896,22.0
1620.0,10.6435305745,21.0
1640.0,10.6624574262,25.0
1660.0,10.3121199359,22.0
1680.0,10.5671595069,22.0
1700.0,10.6580485334,22.0
1720.0,10.9206872879,21.0
1740.0,10.5383593951,23.0
1760.0,10.2561264197,20.0
1780.0,10.4015758091,22.0
1800.0,10.6163313151,19.0
1820.0,10.5899632583,20.0
1840.0,10.47850151,19.0
1860.0,10.4659887422,19.0
1880.0,10.6424148567,19.0
1900.0,10.3229050055,20.0
1920.0,10.5865039962,20.0
1940.0,10.6650361001,19.0
1960.0,10.5802795811,20.0
1980.0,10.7390334297,18.0
2000.0,10.649449324,19.0
2020.0,10.6507625623,21.0
2040.0,10.8296942138,22.0
2060.0,11.0508585057,22.0
2080.0,11.0249888135,22.0
2100.0,10.9768489631,20.0
2120.0,11.5436819848,25.0
2140.0,11.8986547958,25.0
2160.0,11.0010746718,24.0
2180.0,10.5967581121,24.0
2200.0,10.7648843704,20.0
2220.0,10.71036199,22.0
2240.0,10.5463505532,20.0
2260.0,10.5874555319,19.0
2280.0,10.4537289902,20.0
2300.0,10.7245541739,21.0
2320.0,10.3390104461,19.0
2340.0,10.688525902,18.0
2360.0,10.6901706671,18.0
2380.0,10.3777245561,17.0
2400.0,10.3897018529,18.0
2420.0,10.7254920739,18.0
2440.0,14.2594831188,22.0
2460.0,17.1658780151,21.0
2480.0,19.5577929355,23.0
2500.0,21.8624399772,22.0
2520.0,24.0547958117,22.0
2540.0,25.8878876676,21.0
2560.0,27.6716886074,22.0
2580.0,29.1274758354,21.0
2600.0,30.43335304,22.0
2620.0,31.7043285501,22.0
2640.0,33.2967388841,23.0
2660.0,34.1314497988,22.0
2680.0,35.0616504209,22.0
2700.0,35.6055202153,21.0
2720.0,36.3722277829,21.0
2740.0,36.9075632121,22.0
2760.0,37.4423723057,22.0
2780.0,38.1386712465,23.0
2800.0,38.6687705132,24.0
2820.0,39.0712565558,23.0
2840.0,39.7851340231,23.0
2860.0,41.2344443131,23.0
2880.0,41.4592070831,23.0
2900.0,41.4897216808,24.0
2920.0,41.8917635558,22.0
2940.0,42.7294777083,25.0
2960.0,43.1715417821,23.0
2980.0,43.6377964996,23.0
3000.0,44.8000131306,28.0
3020.0,45.4099806136,27.0
3040.0,45.9983686379,30.0
3060.0,45.7259426634,27.0
3080.0,46.3623729858,29.0
3100.0,47.219728783,29.0
3120.0,49.0973565721,29.0
3140.0,49.1018396681,30.0
3160.0,48.8849114763,27.0
3180.0,49.2239610313,23.0
3200.0,48.9983779306,21.0
3220.0,48.5904786031,23.0
3240.0,48.6713062974,20.0
3260.0,48.8384938423,22.0
3280.0,48.9543616372,22.0
3300.0,48.8537940343,23.0
3320.0,48.4891454241,26.0
3340.0,49.2092971325,22.0
3360.0,49.3802360878,21.0
3380.0,48.8708714223,23.0
3400.0,50.6556343907,24.0
3420.0,48.0095373315,25.0
3440.0,48.9915745796,26.0
3460.0,49.0188258995,26.0
3480.0,49.2041304946,25.0
3500.0,49.5718286116,25.0
3520.0,49.1923792128,25.0
3540.0,48.6508625011,25.0
3560.0,47.889081884,26.0
3580.0,49.0570332101,24.0
3600.0,49.7277327354,23.0
