timestamps(s), speed (mph), count
20.0,66.0783004011,14.0
40.0,71.6778906522,18.0
60.0,69.0048979321,15.0
80.0,73.7769433779,18.0
100.0,69.7469335634,16.0
120.0,74.2158234489,17.0
140.0,71.3977581061,16.0
160.0,68.4009399422,18.0
180.0,73.2739823162,16.0
200.0,69.3604833715,16.0
220.0,67.9038972893,18.0
240.0,75.2944659835,16.0
260.0,69.3178583108,18.0
280.0,74.4360290826,16.0
300.0,72.714904231,16.0
320.0,68.554039307,20.0
340.0,65.9183670405,17.0
360.0,70.5071736438,17.0
380.0,67.0543026767,18.0
400.0,68.9996207268,18.0
420.0,71.6145076526,19.0
440.0,70.730715202,17.0
460.0,63.7227566372,18.0
480.0,70.2825139673,18.0
500.0,66.720604307,17.0
520.0,74.9534071164,17.0
540.0,65.7362349866,17.0
560.0,69.1824186896,18.0
580.0,64.4561367609,19.0
600.0,67.0247562797,18.0
620.0,67.158511489,18.0
640.0,67.5228876175,17.0
660.0,69.5886142584,18.0
680.0,65.7669931137,16.0
700.0,66.9062040211,18.0
720.0,69.5926518225,18.0
740.0,65.7368947031,18.0
760.0,72.726487097,19.0
780.0,68.1643668529,18.0
800.0,71.5118350752,19.0
820.0,67.7950424355,16.0
840.0,69.9269482438,17.0
860.0,71.0048920849,19.0
880.0,68.6256191621,18.0
900.0,64.1022398724,18.0
920.0,62.5521522858,18.0
940.0,71.3938388403,19.0
960.0,65.6769772851,20.0
980.0,72.7468539701,19.0
1000.0,71.7317954266,18.0
1020.0,71.673485653,17.0
1040.0,73.8192100645,19.0
1060.0,68.8054424881,16.0
1080.0,67.9705192453,19.0
1100.0,72.6291691823,19.0
1120.0,67.4757895734,17.0
1140.0,71.0929122345,18.0
1160.0,70.9499398322,18.0
1180.0,64.9979455859,17.0
1200.0,66.4309128813,18.0
1220.0,69.1268091094,21.0
1240.0,69.8999884472,20.0
1260.0,68.3469558442,21.0
1280.0,69.5065629882,21.0
1300.0,71.3735251453,20.0
1320.0,68.1623316854,20.0
1340.0,73.3648007675,22.0
1360.0,68.6965576384,22.0
1380.0,68.1650347699,19.0
1400.0,70.0619905786,17.0
1420.0,73.0028047557,22.0
1440.0,67.2225484968,21.0
1460.0,72.8045654817,22.0
1480.0,72.1100537356,20.0
1500.0,70.7095323097,22.0
1520.0,70.3925498108,18.0
1540.0,72.8182775759,20.0
1560.0,66.4087585244,18.0
1580.0,68.8868945349,18.0
1600.0,59.6823422462,19.0
1620.0,69.9051913715,18.0
1640.0,74.8403058426,21.0
1660.0,66.2552639204,19.0
1680.0,62.7652402994,18.0
1700.0,66.9224987874,19.0
1720.0,67.5270374729,18.0
1740.0,68.899190081,19.0
1760.0,71.8015150077,18.0
1780.0,65.8134257281,17.0
1800.0,65.7522865432,19.0
1820.0,66.7458592678,16.0
1840.0,68.697388337,17.0
1860.0,69.4339490896,18.0
1880.0,71.8026216087,18.0
1900.0,72.6541680924,17.0
1920.0,63.5260470904,19.0
1940.0,66.8256419958,17.0
1960.0,65.5258128049,19.0
1980.0,73.7109984561,17.0
2000.0,71.0596028625,17.0
2020.0,71.3223107003,18.0
2040.0,71.5526129907,18.0
2060.0,64.8265157035,18.0
2080.0,72.2799186108,15.0
2100.0,61.7411699752,17.0
2120.0,65.8637689006,16.0
2140.0,72.1177253059,18.0
2160.0,69.5486489744,16.0
2180.0,68.7864814272,17.0
2200.0,69.7942219633,17.0
2220.0,70.9522689867,17.0
2240.0,71.2560635475,19.0
2260.0,69.7478557738,16.0
2280.0,68.6723519374,17.0
2300.0,69.7401671153,16.0
2320.0,75.5831898936,16.0
2340.0,68.1782096503,18.0
2360.0,68.6742968875,16.0
2380.0,68.7309912192,18.0
2400.0,68.067341557,15.0
2420.0,69.6504275949,19.0
2440.0,69.4698042506,17.0
2460.0,70.22222353,18.0
2480.0,68.3019271296,19.0
2500.0,68.9827614443,17.0
2520.0,72.2932661358,18.0
2540.0,69.0861386797,15.0
2560.0,67.4928924488,18.0
2580.0,64.3349246419,17.0
2600.0,69.3736159685,18.0
2620.0,67.663800413,18.0
2640.0,70.5860128751,18.0
2660.0,66.0233826601,16.0
2680.0,67.678086017,20.0
2700.0,63.8794781345,18.0
2720.0,72.0846082209,16.0
2740.0,67.1968950407,17.0
2760.0,68.7441060193,16.0
2780.0,67.9577914391,18.0
2800.0,65.2286856826,17.0
2820.0,69.6691504854,19.0
2840.0,69.9209783387,20.0
2860.0,66.7771737021,19.0
2880.0,63.020950684,18.0
2900.0,61.6845645118,19.0
2920.0,65.5161730889,18.0
2940.0,60.665304972,18.0
2960.0,63.7659440215,19.0
2980.0,68.5249673531,19.0
3000.0,69.7739602655,18.0
3020.0,72.6684822345,19.0
3040.0,65.2582727205,21.0
3060.0,58.7914850934,15.0
3080.0,67.0595281975,20.0
3100.0,68.4677081824,19.0
3120.0,61.3318504985,19.0
3140.0,69.8965523014,19.0
3160.0,60.471430996,18.0
3180.0,68.8311426629,15.0
3200.0,69.3105089301,20.0
3220.0,66.9484228136,17.0
