timestamps(s), speed (mph), count
20.0,73.5266931488,18.0
40.0,74.7808699947,22.0
60.0,71.2012423066,19.0
80.0,68.5543626045,22.0
100.0,64.7465833939,22.0
120.0,70.3129304504,19.0
140.0,71.5842347512,20.0
160.0,73.3584100503,22.0
180.0,71.3797584833,22.0
200.0,70.5794509337,21.0
220.0,69.207492844,20.0
240.0,72.6806800224,22.0
260.0,66.564270603,22.0
280.0,70.5650468244,21.0
300.0,72.0495397825,19.0
320.0,71.5599872242,19.0
340.0,72.8292592679,20.0
360.0,72.2863892087,24.0
380.0,70.6023772033,21.0
400.0,75.7317709073,20.0
420.0,69.8281008789,20.0
440.0,69.9229522019,22.0
460.0,66.5178603935,24.0
480.0,67.4631158176,22.0
500.0,73.1502606731,20.0
520.0,66.4268002983,23.0
540.0,72.2085070273,20.0
560.0,67.6641345151,21.0
580.0,75.5521973891,25.0
600.0,66.1015123118,21.0
620.0,68.1234235326,17.0
640.0,66.0496056776,18.0
660.0,67.2881685647,17.0
680.0,70.9437993768,18.0
700.0,67.5222404161,16.0
720.0,69.7259054995,18.0
740.0,66.1359565724,17.0
760.0,64.5972452573,16.0
780.0,67.1121320784,18.0
800.0,67.8060911854,16.0
820.0,74.303311892,18.0
840.0,67.1277770481,16.0
860.0,70.2958448136,18.0
880.0,71.4899377685,17.0
900.0,68.2941263224,16.0
920.0,63.7084062365,16.0
940.0,70.9823182942,18.0
960.0,66.8167777774,18.0
980.0,71.6693042816,16.0
1000.0,67.485020955,18.0
1020.0,73.1231528532,18.0
1040.0,71.7206800199,17.0
1060.0,66.6992075796,20.0
1080.0,67.6483882568,20.0
1100.0,64.631631721,22.0
1120.0,61.5528477038,19.0
1140.0,74.0717191283,20.0
1160.0,70.2239894855,19.0
1180.0,68.2473241424,19.0
1200.0,70.2277227256,21.0
1220.0,70.563549679,20.0
1240.0,66.5937744005,20.0
1260.0,70.1224603786,19.0
1280.0,67.3132617797,18.0
1300.0,69.2639246259,19.0
1320.0,69.1903754579,19.0
1340.0,67.1740245447,19.0
1360.0,68.4250540061,19.0
1380.0,73.780966302,19.0
1400.0,71.1215911049,20.0
1420.0,70.4991534593,19.0
1440.0,72.8872776949,21.0
1460.0,71.26203056,17.0
1480.0,72.7758910044,21.0
1500.0,73.028856842,19.0
1520.0,64.4733054544,17.0
1540.0,62.203902376,19.0
1560.0,73.2626596783,19.0
1580.0,69.3678948372,18.0
1600.0,68.0003554595,20.0
1620.0,64.3560105591,18.0
1640.0,66.6610023446,18.0
1660.0,66.7040256793,18.0
1680.0,65.7876780089,19.0
1700.0,66.3785797386,18.0
1720.0,65.9554832075,19.0
1740.0,69.0865236518,17.0
1760.0,70.4307380546,19.0
1780.0,72.9706944392,19.0
1800.0,66.7250698442,20.0
1820.0,66.7590388088,19.0
1840.0,66.5280283695,15.0
1860.0,66.1071140328,17.0
1880.0,65.8782180603,20.0
1900.0,70.0320720887,15.0
1920.0,70.9382639392,19.0
1940.0,62.9771859487,16.0
1960.0,68.8761556511,18.0
1980.0,72.9711944659,17.0
2000.0,69.5904545906,17.0
2020.0,72.0227458058,16.0
2040.0,71.4415056717,18.0
2060.0,68.3559044676,18.0
2080.0,72.6404065889,16.0
2100.0,69.8387447105,17.0
2120.0,69.1716083709,19.0
2140.0,68.7742888089,19.0
2160.0,67.2061930597,16.0
2180.0,71.3917394615,17.0
2200.0,69.6838841686,19.0
2220.0,67.6853671773,15.0
2240.0,72.3687012002,19.0
2260.0,72.0460639219,19.0
2280.0,70.4923558816,18.0
2300.0,66.037113978,18.0
2320.0,71.1692892637,18.0
2340.0,66.2593871185,18.0
2360.0,67.3987030746,16.0
2380.0,69.1647827738,20.0
2400.0,57.0042110012,18.0
2420.0,70.4137306955,19.0
2440.0,69.4928547664,21.0
2460.0,63.3921824394,20.0
2480.0,70.1403705778,19.0
2500.0,65.6095946127,20.0
2520.0,73.8164421128,21.0
2540.0,75.8536615169,18.0
2560.0,65.3198688204,22.0
2580.0,64.2141783408,18.0
2600.0,69.2617000792,19.0
2620.0,68.246711477,21.0
2640.0,73.618015574,20.0
2660.0,68.2507994835,20.0
2680.0,70.5240588075,20.0
2700.0,71.7845828853,20.0
2720.0,72.8371809859,17.0
2740.0,67.9455246921,20.0
2760.0,70.7381172775,17.0
2780.0,69.1328868632,17.0
2800.0,63.0380991506,20.0
2820.0,69.1826416282,18.0
2840.0,72.5559829154,18.0
2860.0,65.7300690901,18.0
2880.0,70.4691530069,19.0
2900.0,68.3756693356,17.0
2920.0,69.1416039309,20.0
2940.0,63.0410153613,17.0
2960.0,66.8526117617,21.0
2980.0,67.2384000947,17.0
3000.0,65.9135620084,19.0
3020.0,66.8068075578,17.0
3040.0,65.3447812991,19.0
3060.0,73.0850635746,17.0
3080.0,63.8362879807,20.0
3100.0,72.3778666803,18.0
3120.0,66.5261261152,17.0
3140.0,67.5819215635,18.0
3160.0,67.7584169592,18.0
3180.0,70.453342532,17.0
3200.0,66.9061529154,19.0
3220.0,66.7576518154,19.0
3240.0,67.4948685533,17.0
3260.0,70.158007474,19.0
3280.0,70.5953617853,16.0
3300.0,68.8291136085,19.0
3320.0,72.2334211861,18.0
3340.0,68.7041454,17.0
3360.0,69.6887603728,17.0
3380.0,70.6894495297,17.0
3400.0,62.5028542539,15.0
3420.0,59.8320710967,17.0
3440.0,68.1927465103,18.0
3460.0,71.3177110136,17.0
3480.0,72.7383320596,18.0
3500.0,71.5632835096,18.0
3520.0,69.4236267879,16.0
3540.0,69.9215178199,18.0
3560.0,60.8433810475,19.0
3580.0,64.5170039201,18.0
3600.0,63.8704715492,19.0
