timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,0.0,-0.621504039776
40.0,0.0,0.0,-0.621504039776
60.0,0.0,0.0,-0.621504039776
80.0,0.0,0.0,-0.621504039776
100.0,0.0,0.0,-0.621504039776
120.0,0.0,900.0,68.3484767768
140.0,0.0,3600.0,65.3364874343
160.0,0.0555555555556,3240.0,64.2543365876
180.0,0.0526315789474,3420.0,65.3646215028
200.0,0.0,2700.0,62.3254402573
220.0,0.0,2160.0,64.8521954967
240.0,0.0555555555556,3240.0,63.4493425467
260.0,0.0,3240.0,64.848806063
280.0,0.0625,2880.0,68.6151081016
300.0,0.0,3060.0,66.3034959698
320.0,0.0,2700.0,67.7923126857
340.0,0.0,3420.0,66.8232275179
360.0,0.0,2880.0,69.3918972268
380.0,0.0526315789474,3420.0,67.7925498951
400.0,0.0,2700.0,66.6938781449
420.0,0.105263157895,3420.0,67.625353354
440.0,0.533333333333,2700.0,66.0834904679
460.0,0.4375,2880.0,65.533581356
480.0,0.454545454545,3960.0,65.0464674671
500.0,0.35,3600.0,62.8731087478
520.0,0.571428571429,3780.0,69.9615109545
540.0,0.357142857143,2520.0,73.4660538337
560.0,0.578947368421,3420.0,66.1502796872
580.0,0.428571428571,3780.0,68.6709946191
600.0,0.666666666667,2160.0,69.0711679614
620.0,0.5,2160.0,65.6908704953
640.0,0.518518518519,4860.0,64.5776708073
660.0,0.266666666667,2700.0,67.1192172866
680.0,0.555555555556,4860.0,68.6110736919
700.0,0.4,2700.0,69.8330826174
720.0,0.3125,2880.0,66.347536576
740.0,0.333333333333,3240.0,65.7643812218
760.0,0.142857142857,2520.0,65.5879530672
780.0,0.105263157895,3420.0,65.1602440093
800.0,0.117647058824,3060.0,65.4987455509
820.0,0.3,3600.0,63.1808938302
840.0,0.235294117647,3060.0,67.2523120554
860.0,0.3125,2880.0,57.5220157669
880.0,0.3,3600.0,58.9819543525
900.0,0.315789473684,3420.0,52.6999523537
920.0,0.315789473684,3420.0,44.1545085225
940.0,0.0,2160.0,32.4169852212
960.0,0.272727272727,1980.0,17.7948333783
980.0,0.333333333333,540.0,5.01748374371
1000.0,0.0,0.0,-0.621504039776
1020.0,0.0,180.0,4.47735756374
1040.0,0.0,360.0,4.61419726791
1060.0,0.0,1620.0,6.0715672519
1080.0,0.0,360.0,0.542481395926
1100.0,0.0,180.0,0.561174734367
1120.0,0.0,360.0,0.591845903787
1140.0,0.0,360.0,0.541700074726
1160.0,0.0,360.0,0.566203005626
1180.0,0.0,360.0,0.60727724502
1200.0,0.0,360.0,0.553668989476
1220.0,0.0,360.0,0.650605360229
1240.0,0.5,360.0,0.571431617867
1260.0,0.0,360.0,0.562080231456
1280.0,0.0,360.0,0.56255735004
1300.0,0.0,360.0,0.562273307654
1320.0,0.0,360.0,0.562246078676
1340.0,0.0,360.0,0.562247762872
1360.0,0.0,360.0,0.562247733521
1380.0,0.0,360.0,0.562247733271
1400.0,0.5,360.0,0.562247733271
1420.0,1.0,360.0,0.562247733271
1440.0,0.5,360.0,0.562247733271
1460.0,1.0,360.0,0.562247734223
1480.0,1.0,360.0,0.56238532941
1500.0,0.0,360.0,0.721315193324
1520.0,0.5,1080.0,3.46408869298
1540.0,0.615384615385,2340.0,6.56697037247
1560.0,0.526315789474,3420.0,8.24514576619
1580.0,0.652173913043,4140.0,9.78042260231
1600.0,0.47619047619,3780.0,10.4160895859
1620.0,0.625,4320.0,10.7232795236
1640.0,0.666666666667,4320.0,10.7967579124
1660.0,0.565217391304,4140.0,10.7468174478
1680.0,0.652173913043,4140.0,10.6524513896
1700.0,0.521739130435,4140.0,10.6929616706
1720.0,0.608695652174,4140.0,10.7329434472
1740.0,0.409090909091,3960.0,10.7667209131
1760.0,0.5,3960.0,10.6371322241
1780.0,0.263157894737,3420.0,10.539091678
1800.0,0.2,3600.0,10.4922839848
1820.0,0.25,3600.0,10.5055749748
1840.0,0.35,3600.0,10.5241469779
1860.0,0.111111111111,3240.0,10.5168606065
1880.0,0.25,3600.0,10.5294909893
1900.0,0.117647058824,3060.0,10.4878566628
1920.0,0.15,3600.0,10.4753775698
1940.0,0.3,3600.0,10.5251117339
1960.0,0.111111111111,3240.0,10.5676935659
1980.0,0.318181818182,3960.0,10.6477463693
2000.0,0.166666666667,3240.0,10.7231120505
2020.0,0.285714285714,3780.0,10.746740254
2040.0,0.117647058824,3060.0,10.6245962288
2060.0,0.1,3600.0,10.5455637048
2080.0,0.0588235294118,3060.0,10.5426594337
2100.0,0.157894736842,3420.0,10.5679936522
2120.0,0.210526315789,3420.0,10.6779843245
2140.0,0.0526315789474,3420.0,10.7221393922
2160.0,0.166666666667,3240.0,10.7401068579
2180.0,0.210526315789,3420.0,10.705577659
2200.0,0.157894736842,3420.0,10.6195991731
2220.0,0.0,3240.0,10.6087096515
2240.0,0.238095238095,3780.0,10.6665042155
2260.0,0.35,3600.0,10.8000236238
2280.0,0.3,3600.0,10.9635946338
2300.0,0.363636363636,3960.0,11.087491274
2320.0,0.454545454545,3960.0,11.262667652
2340.0,0.434782608696,4140.0,11.3023299475
2360.0,0.409090909091,3960.0,11.3637195673
2380.0,0.478260869565,4140.0,11.3122422708
2400.0,0.3,3600.0,11.1255855851
2420.0,0.409090909091,3960.0,10.9340985281
2440.0,0.333333333333,3780.0,10.7801970686
2460.0,0.428571428571,3780.0,10.6873338265
2480.0,0.521739130435,4140.0,10.6119871853
2500.0,0.35,3600.0,10.5840926195
2520.0,0.35,3600.0,10.5663334663
2540.0,0.285714285714,3780.0,10.5919428741
2560.0,0.210526315789,3420.0,10.5923977775
2580.0,0.478260869565,4140.0,10.5957802372
