timestamps(s), speed (mph), count
20.0,71.8349045257,16.0
40.0,66.5260182605,18.0
60.0,68.7706251346,21.0
80.0,72.8915849739,19.0
100.0,66.8103280161,19.0
120.0,70.5998729754,19.0
140.0,61.246647192,20.0
160.0,63.6772653587,19.0
180.0,70.8786752118,16.0
200.0,69.1708914824,21.0
220.0,68.5488326941,17.0
240.0,71.8246465012,19.0
260.0,68.0223453896,17.0
280.0,74.9841321217,19.0
300.0,63.9739934877,17.0
320.0,67.7148900993,18.0
340.0,61.2145610873,16.0
360.0,72.6367529309,18.0
380.0,64.4824985837,17.0
400.0,68.379291441,17.0
420.0,71.830415187,17.0
440.0,63.2045745114,18.0
460.0,68.5364906337,17.0
480.0,66.4004812393,17.0
500.0,71.8594280511,17.0
520.0,59.5706918834,20.0
540.0,71.4786559592,16.0
560.0,72.8062927133,18.0
580.0,61.1357862313,17.0
600.0,70.413826258,16.0
620.0,68.1517597831,16.0
640.0,71.5127506597,18.0
660.0,72.6966938723,17.0
680.0,65.7852198458,16.0
700.0,72.6435919857,18.0
720.0,73.0811108799,18.0
740.0,69.0743092088,18.0
760.0,71.8461378247,16.0
780.0,70.9679910327,18.0
800.0,68.3683275078,17.0
820.0,72.0738880823,17.0
840.0,72.0602566506,18.0
860.0,71.9672957771,18.0
880.0,66.7047325479,19.0
900.0,71.07780774,17.0
920.0,68.6185260721,17.0
940.0,65.7682578651,19.0
960.0,66.632762655,18.0
980.0,64.4868870078,18.0
1000.0,66.7290451886,19.0
1020.0,63.2331655622,17.0
1040.0,69.902434372,18.0
1060.0,74.79476137,16.0
1080.0,69.1081516925,18.0
1100.0,72.107353216,18.0
1120.0,66.3362703485,17.0
1140.0,68.2026765756,18.0
1160.0,67.9635637579,17.0
1180.0,65.556458796,19.0
1200.0,63.8956464915,18.0
1220.0,71.1795284856,17.0
1240.0,70.1741940714,16.0
1260.0,69.2754140499,18.0
1280.0,73.1043770338,16.0
1300.0,72.3697177355,18.0
1320.0,70.246589525,18.0
1340.0,69.1421952626,16.0
1360.0,71.0256228321,18.0
1380.0,72.5228333403,19.0
1400.0,73.3664682491,18.0
1420.0,69.1402963009,19.0
1440.0,73.7572938076,18.0
1460.0,72.2576821179,24.0
1480.0,73.9757574317,22.0
1500.0,68.3015724289,22.0
1520.0,69.9043056188,20.0
1540.0,57.5059984668,19.0
1560.0,71.7228473147,20.0
1580.0,67.7097786333,17.0
1600.0,71.6416975832,17.0
1620.0,67.9125148329,19.0
1640.0,66.7438230792,20.0
1660.0,65.6066209724,19.0
1680.0,68.3494813112,17.0
1700.0,69.2886242281,19.0
1720.0,69.700283001,21.0
1740.0,71.7026582103,18.0
1760.0,69.3958801559,18.0
1780.0,68.8028422603,21.0
1800.0,66.7237238195,19.0
1820.0,71.8731313771,20.0
1840.0,68.6741651616,20.0
1860.0,68.7222856356,19.0
1880.0,75.1623488933,22.0
1900.0,69.2898832179,17.0
1920.0,67.1131430898,22.0
1940.0,73.2414311354,17.0
1960.0,69.5463357082,22.0
1980.0,69.4382293621,18.0
2000.0,63.2195015297,18.0
2020.0,67.4110267133,20.0
2040.0,68.2849082564,18.0
2060.0,70.5965910345,18.0
2080.0,70.5993999406,18.0
2100.0,65.963707595,19.0
2120.0,67.1505260429,16.0
2140.0,68.4569099218,19.0
2160.0,68.8789641217,17.0
2180.0,70.9166027274,17.0
2200.0,66.7432796193,17.0
2220.0,74.0281335063,19.0
2240.0,68.9015118004,18.0
2260.0,68.264013057,18.0
2280.0,69.4545316956,18.0
2300.0,66.8078637106,16.0
2320.0,70.346966178,18.0
2340.0,68.7272770717,18.0
2360.0,75.9090490623,19.0
2380.0,72.6009580126,17.0
2400.0,66.845747501,17.0
2420.0,70.2479909938,18.0
2440.0,62.7753716789,17.0
2460.0,69.8388244512,16.0
2480.0,67.5784282774,15.0
2500.0,65.845155543,18.0
2520.0,66.2558973727,16.0
2540.0,66.7911845836,16.0
2560.0,62.734224999,18.0
2580.0,69.3683567479,16.0
2600.0,69.6461346282,18.0
2620.0,71.2250388609,15.0
2640.0,70.9423995111,18.0
2660.0,66.4595579612,16.0
2680.0,73.6470873095,18.0
2700.0,72.5457799567,16.0
2720.0,65.2787885573,16.0
2740.0,71.0032342173,18.0
2760.0,70.4179357117,17.0
2780.0,73.8040896659,17.0
2800.0,69.2639784596,16.0
2820.0,71.8709048503,18.0
2840.0,69.3899962882,15.0
2860.0,70.5514802963,17.0
2880.0,73.9918637998,16.0
2900.0,74.3206918208,18.0
2920.0,72.0337608957,15.0
2940.0,69.9731668379,17.0
2960.0,73.6876051101,17.0
2980.0,67.2501537707,16.0
3000.0,68.4862904074,18.0
3020.0,75.3652834101,19.0
3040.0,71.0412914303,16.0
3060.0,65.2872003164,19.0
3080.0,72.9030667254,21.0
3100.0,68.1579415149,19.0
3120.0,70.1165863613,16.0
3140.0,68.1925388463,18.0
3160.0,70.2988556171,20.0
3180.0,70.3010753442,19.0
