timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,0.0,0.0
80.0,0.0,0.0
100.0,0.0,0.0
120.0,70.6904360205,9.0
140.0,64.9727047291,12.0
160.0,59.4500758939,15.0
180.0,61.8780612912,20.0
200.0,64.3428913292,17.0
220.0,69.4442087732,15.0
240.0,66.3815449585,20.0
260.0,66.0932999784,14.0
280.0,67.0827007001,17.0
300.0,68.5316450079,18.0
320.0,70.2264073075,15.0
340.0,65.6243571099,14.0
360.0,62.7422601855,15.0
380.0,67.1864475471,16.0
400.0,63.0338022614,17.0
420.0,60.2786846759,28.0
440.0,71.3812188938,26.0
460.0,72.6149709503,21.0
480.0,67.0528595808,27.0
500.0,68.9472090388,18.0
520.0,72.1341960344,21.0
540.0,68.5634381502,24.0
560.0,61.6004647452,18.0
580.0,68.7032306028,27.0
600.0,66.825873797,29.0
620.0,71.2013442244,24.0
640.0,73.4785993976,21.0
660.0,74.0369860881,15.0
680.0,66.8576002939,28.0
700.0,66.7893777601,26.0
720.0,67.717003042,20.0
740.0,60.879432545,22.0
760.0,68.866720552,21.0
780.0,61.1941262302,21.0
800.0,57.5256438525,20.0
820.0,53.805195537,22.0
840.0,44.5446511029,20.0
860.0,27.7569653855,16.0
880.0,6.26649189549,6.0
900.0,0.581445933581,2.0
920.0,0.581526771868,2.0
940.0,0.581528408412,2.0
960.0,0.581541479014,2.0
980.0,0.582703120391,2.0
1000.0,0.584341057606,2.0
1020.0,0.584218525937,2.0
1040.0,0.585546627507,2.0
1060.0,0.588513933493,2.0
1080.0,0.588930114005,2.0
1100.0,0.588974266128,2.0
1120.0,0.589004623792,2.0
1140.0,0.589006969255,2.0
1160.0,0.61304265155,1.0
1180.0,0.589007014273,2.0
1200.0,0.589007014273,2.0
1220.0,0.589002163465,2.0
1240.0,0.586417049523,2.0
1260.0,0.585665231427,2.0
1280.0,0.587117246001,2.0
1300.0,0.596717549797,2.0
1320.0,0.598497386961,2.0
1340.0,0.595822490573,2.0
1360.0,0.600257966462,3.0
1380.0,0.597642737881,2.0
1400.0,0.694331039311,2.0
1420.0,3.1498903137,5.0
1440.0,6.66541086449,12.0
1460.0,8.39069898962,18.0
1480.0,9.63620366617,22.0
1500.0,10.2800351194,22.0
1520.0,10.3274751435,20.0
1540.0,10.4097999865,20.0
1560.0,10.6166684275,21.0
1580.0,10.9301343272,24.0
1600.0,11.2129831502,21.0
1620.0,11.2690977346,24.0
1640.0,11.3424247316,24.0
1660.0,11.3438148673,20.0
1680.0,11.2972622014,24.0
1700.0,11.2879248148,22.0
1720.0,11.2917156142,24.0
1740.0,11.3186434781,21.0
1760.0,11.3576641583,22.0
1780.0,11.3794514352,22.0
1800.0,11.3197983944,21.0
1820.0,11.1798261073,20.0
1840.0,11.1464211172,21.0
1860.0,11.0426073029,21.0
1880.0,11.0679061734,20.0
1900.0,11.0846263309,22.0
1920.0,11.028116138,20.0
1940.0,10.856760398,23.0
1960.0,10.7983842323,23.0
1980.0,10.8108502744,20.0
2000.0,10.9201044205,23.0
2020.0,10.9313571067,24.0
2040.0,10.8028422028,22.0
2060.0,10.7231333714,25.0
2080.0,10.7379514214,25.0
2100.0,10.710498684,24.0
2120.0,10.6668244779,24.0
2140.0,10.6394111659,25.0
2160.0,10.7477484996,24.0
2180.0,10.8345445562,25.0
2200.0,10.8690823401,26.0
2220.0,10.7763517374,24.0
2240.0,10.6457844832,27.0
2260.0,10.5596776621,20.0
2280.0,10.5339071895,23.0
2300.0,10.4926973845,22.0
2320.0,10.4275320881,20.0
2340.0,10.4557510699,20.0
2360.0,10.5053663333,21.0
2380.0,10.4803785062,22.0
2400.0,10.3532003119,21.0
2420.0,10.3808762559,20.0
2440.0,10.6282591529,22.0
2460.0,10.8340122499,21.0
2480.0,10.8947001589,22.0
2500.0,10.8454253025,20.0
2520.0,10.7044215376,21.0
2540.0,10.5471417309,20.0
2560.0,10.504732169,22.0
2580.0,10.8100794477,26.0
2600.0,11.5525969844,24.0
2620.0,12.1229721582,25.0
2640.0,12.7959867706,26.0
2660.0,13.1189103056,25.0
2680.0,13.7122551347,28.0
2700.0,14.3194336715,29.0
2720.0,14.9497149126,30.0
2740.0,15.4312715057,28.0
2760.0,15.5855348308,27.0
2780.0,15.8269205147,27.0
2800.0,16.1246403169,28.0
2820.0,16.3456988697,31.0
2840.0,16.3181488776,30.0
2860.0,16.4706767377,28.0
2880.0,16.6525410907,27.0
2900.0,16.5852748743,33.0
2920.0,16.8014498095,27.0
2940.0,17.0836248005,27.0
2960.0,17.1401030357,24.0
2980.0,17.1029109524,25.0
3000.0,17.163268849,23.0
3020.0,17.14486605,22.0
3040.0,17.071562313,25.0
3060.0,17.2170768712,22.0
3080.0,17.3047897688,23.0
3100.0,17.3097103032,20.0
3120.0,17.320830413,23.0
3140.0,17.4539840642,21.0
3160.0,17.383578752,23.0
3180.0,17.4216245228,22.0
3200.0,17.4944924312,22.0
3220.0,17.6299201035,25.0
3240.0,17.5737446325,23.0
3260.0,17.5405619938,23.0
3280.0,17.6155775715,24.0
3300.0,17.6988397386,22.0
3320.0,17.7088447363,23.0
3340.0,17.7755848517,24.0
3360.0,17.8046218773,24.0
3380.0,17.84927154,23.0
3400.0,18.0116354796,22.0
3420.0,18.3109535578,24.0
3440.0,20.5060828096,21.0
3460.0,23.8685720605,22.0
3480.0,36.7117848339,17.0
3500.0,40.4474324077,18.0
3520.0,51.7190669172,18.0
3540.0,50.7516961797,19.0
3560.0,51.2281856826,17.0
3580.0,64.5812548416,17.0
3600.0,60.9206125679,17.0
