timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,74.1867170701,5.0
80.0,62.0090850905,16.0
100.0,64.6740581603,18.0
120.0,69.9528862544,16.0
140.0,68.7302355934,14.0
160.0,67.4068500378,21.0
180.0,62.1803083525,17.0
200.0,62.2880151757,18.0
220.0,70.3397258407,18.0
240.0,64.9959374563,16.0
260.0,65.0468159638,19.0
280.0,65.8489751414,18.0
300.0,67.3686152444,19.0
320.0,68.0985982276,16.0
340.0,64.277651577,19.0
360.0,70.9178451728,17.0
380.0,70.3979429581,15.0
400.0,66.785902125,20.0
420.0,74.4468139943,16.0
440.0,69.3103461553,16.0
460.0,71.7333730648,19.0
480.0,67.1535494263,16.0
500.0,73.4464679623,18.0
520.0,67.6292591504,20.0
540.0,72.4221730237,15.0
560.0,73.581546139,16.0
580.0,72.568804647,17.0
600.0,68.007893836,19.0
620.0,72.9249255403,14.0
640.0,63.0458134841,25.0
660.0,67.7188011981,14.0
680.0,68.0780529343,15.0
700.0,64.7304969291,17.0
720.0,69.5269466027,18.0
740.0,64.5373249086,15.0
760.0,64.1949074185,23.0
780.0,69.784298535,14.0
800.0,70.8224118673,20.0
820.0,70.910117232,13.0
840.0,69.261072555,18.0
860.0,68.5426281626,19.0
880.0,68.4031996609,16.0
900.0,64.3134696243,18.0
920.0,67.709990966,17.0
940.0,70.0147928567,19.0
960.0,67.3855976624,20.0
980.0,69.1565091506,26.0
1000.0,73.4369741025,21.0
1020.0,73.0802352066,21.0
1040.0,63.8051543925,28.0
1060.0,68.9239359228,31.0
1080.0,70.2531125156,19.0
1100.0,69.4383797574,26.0
1120.0,70.6941754012,25.0
1140.0,69.9845990941,23.0
1160.0,69.9659059728,30.0
1180.0,76.99706355,25.0
1200.0,76.99706355,25.0
1220.0,76.99706355,25.0
1240.0,76.99706355,24.0
1260.0,76.6230464945,16.0
1280.0,71.7665535347,21.0
1300.0,71.342318293,20.0
1320.0,70.438199567,22.0
1340.0,68.5119530967,20.0
1360.0,68.4024003326,21.0
1380.0,68.2213684827,22.0
1400.0,75.89317466,19.0
1420.0,69.7489827882,16.0
1440.0,69.4017713607,27.0
1460.0,71.6910144492,19.0
1480.0,72.8428997492,22.0
1500.0,63.9019255786,20.0
1520.0,61.0593810749,19.0
1540.0,45.790025432,21.0
1560.0,27.0268657133,19.0
1580.0,4.16888819833,4.0
1600.0,3.20186243614,7.0
1620.0,6.84837908637,11.0
1640.0,9.04068161694,15.0
1660.0,9.17096488142,18.0
1680.0,8.97226540549,24.0
1700.0,9.85568472639,27.0
1720.0,10.3328342054,28.0
1740.0,10.4891302394,30.0
1760.0,10.6268810394,29.0
1780.0,10.743228135,30.0
1800.0,10.7981229859,30.0
1820.0,10.784502684,30.0
1840.0,10.6610465,30.0
1860.0,10.5704058915,29.0
1880.0,10.5816999618,30.0
1900.0,10.6413672164,29.0
1920.0,10.6292681073,30.0
1940.0,10.5988129795,29.0
1960.0,10.4950704568,30.0
1980.0,10.4602733157,28.0
2000.0,10.6184862962,30.0
2020.0,10.8230925019,30.0
2040.0,11.0078088566,30.0
2060.0,11.2383046425,31.0
2080.0,11.48020805,32.0
2100.0,11.5494923438,31.0
2120.0,11.5755401513,32.0
2140.0,11.6015920913,31.0
2160.0,11.7075283162,32.0
2180.0,11.7701024178,32.0
2200.0,11.7774644455,32.0
2220.0,11.5950905886,31.0
2240.0,11.535083858,28.0
2260.0,11.3937027514,26.0
2280.0,11.3614798951,29.0
2300.0,11.4599045365,28.0
2320.0,11.5519796601,28.0
2340.0,11.351230289,27.0
2360.0,10.9607960993,26.0
2380.0,10.6868734291,25.0
2400.0,10.6007202771,26.0
2420.0,10.6252916029,26.0
2440.0,10.8761920195,27.0
2460.0,11.0473940207,25.0
2480.0,11.0671117162,27.0
2500.0,11.0171810657,24.0
2520.0,11.2057405151,27.0
2540.0,11.4375537868,25.0
2560.0,11.5798228578,28.0
2580.0,11.51217991,25.0
2600.0,11.8738754938,28.0
2620.0,12.3552948337,28.0
2640.0,13.3052696314,28.0
2660.0,14.1298716513,32.0
2680.0,15.9975683998,31.0
2700.0,24.7212627337,28.0
2720.0,38.4639689482,26.0
2740.0,48.7222914989,26.0
2760.0,55.9564056583,22.0
2780.0,61.5666821318,16.0
2800.0,65.8682136829,18.0
2820.0,68.6293021866,20.0
2840.0,65.730471132,24.0
2860.0,64.5721540749,24.0
2880.0,68.5189076957,20.0
2900.0,64.2518587831,20.0
2920.0,70.4129505567,16.0
2940.0,68.3523107773,18.0
2960.0,69.8909205801,18.0
2980.0,65.1529502026,19.0
3000.0,60.4127340586,22.0
3020.0,69.8743745346,16.0
3040.0,66.3795501784,18.0
3060.0,68.8073502322,24.0
3080.0,72.8155719454,22.0
3100.0,71.3516924245,21.0
3120.0,66.9136874514,27.0
3140.0,70.6487376841,24.0
3160.0,65.0209096178,24.0
3180.0,65.769404645,22.0
3200.0,70.6673458287,25.0
3220.0,64.8238922712,21.0
3240.0,73.1132293571,24.0
3260.0,72.6139356192,24.0
3280.0,72.3844931577,29.0
3300.0,72.3709294313,23.0
3320.0,69.3077440922,24.0
3340.0,71.4459738119,20.0
3360.0,70.4636325733,20.0
3380.0,70.5248405351,23.0
3400.0,70.0833530675,19.0
3420.0,73.0024098446,21.0
3440.0,66.9692788544,20.0
3460.0,73.4091960156,18.0
3480.0,73.9537662158,21.0
3500.0,70.3453545886,19.0
3520.0,69.5625940943,20.0
3540.0,72.7370166219,19.0
3560.0,63.7174737411,19.0
3580.0,73.7538064636,20.0
3600.0,67.6378254408,23.0
