timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,75.7951029503,6.0
80.0,72.4200689953,17.0
100.0,65.7450332392,19.0
120.0,66.4037242903,18.0
140.0,70.1288997795,20.0
160.0,68.3880882823,18.0
180.0,68.3029190612,22.0
200.0,70.3911024819,17.0
220.0,66.7591271572,20.0
240.0,70.4977573126,18.0
260.0,70.5789292298,18.0
280.0,69.5095766452,20.0
300.0,72.7367474211,17.0
320.0,71.3697631829,20.0
340.0,71.3813719637,20.0
360.0,69.6304222522,18.0
380.0,68.7891462715,19.0
400.0,67.4058876404,16.0
420.0,69.2111278668,24.0
440.0,72.2271356487,15.0
460.0,68.6518931438,19.0
480.0,68.304889505,23.0
500.0,68.889137754,16.0
520.0,66.8832584061,21.0
540.0,67.5693323808,19.0
560.0,69.8272043284,16.0
580.0,65.1323444731,21.0
600.0,67.1774973429,16.0
620.0,64.8217411769,23.0
640.0,65.1970008644,19.0
660.0,67.077512206,18.0
680.0,69.5441468703,17.0
700.0,64.6848205616,20.0
720.0,61.9778377957,20.0
740.0,68.822932493,14.0
760.0,63.6515162454,18.0
780.0,68.6767179204,21.0
800.0,69.4075851244,14.0
820.0,67.2036115137,15.0
840.0,67.9468381242,18.0
860.0,64.5268675972,18.0
880.0,59.4706392421,19.0
900.0,64.7308783867,17.0
920.0,69.6601371086,16.0
940.0,68.4676455121,19.0
960.0,62.2120011339,21.0
980.0,69.0022382346,14.0
1000.0,67.6315932364,21.0
1020.0,64.7800749472,18.0
1040.0,66.7263938708,18.0
1060.0,68.3183714534,19.0
1080.0,61.7140295509,23.0
1100.0,63.7967179582,17.0
1120.0,62.4169199336,23.0
1140.0,69.4959443756,18.0
1160.0,70.6599980863,16.0
1180.0,62.3036224103,20.0
1200.0,62.0037682015,23.0
1220.0,68.1776808032,17.0
1240.0,65.0884620077,17.0
1260.0,64.8071813302,19.0
1280.0,68.3171178172,16.0
1300.0,66.3517402398,22.0
1320.0,60.3150551079,13.0
1340.0,61.9025202868,24.0
1360.0,66.126808258,16.0
1380.0,69.1051320758,25.0
1400.0,70.1511100354,15.0
1420.0,69.1694546579,20.0
1440.0,67.4520319276,18.0
1460.0,67.3332642791,18.0
1480.0,70.9032746669,17.0
1500.0,70.8779166853,18.0
1520.0,61.3414420598,19.0
1540.0,69.4100115533,20.0
1560.0,66.5926228287,18.0
1580.0,64.2633504889,19.0
1600.0,58.2817825729,16.0
1620.0,48.351040189,18.0
1640.0,25.5974008112,19.0
1660.0,6.77180642665,4.0
1680.0,0.616328163172,2.0
1700.0,0.622081988265,3.0
1720.0,0.600981975927,2.0
1740.0,0.708026396206,2.0
1760.0,2.75366897928,6.0
1780.0,5.128674684,9.0
1800.0,6.76500329682,16.0
1820.0,8.47426247069,19.0
1840.0,9.47056216999,21.0
1860.0,9.99674698868,20.0
1880.0,10.3502520248,24.0
1900.0,10.4661397475,22.0
1920.0,10.4820326913,21.0
1940.0,10.496702949,22.0
1960.0,10.5655439496,21.0
1980.0,10.6776654718,21.0
2000.0,10.7491264933,21.0
2020.0,10.8501423179,21.0
2040.0,10.9121251592,22.0
2060.0,10.8665500208,21.0
2080.0,10.8676435044,22.0
2100.0,10.7972401742,21.0
2120.0,10.7151918102,22.0
2140.0,10.6121206676,21.0
2160.0,10.519733934,20.0
2180.0,10.4497872326,20.0
2200.0,10.3999803511,20.0
2220.0,10.3861432486,20.0
2240.0,10.4149162111,20.0
2260.0,10.4540032825,20.0
2280.0,10.5390463119,19.0
2300.0,10.649432281,18.0
2320.0,10.7299322686,20.0
2340.0,10.7554204476,21.0
2360.0,10.7518363322,19.0
2380.0,10.7153142917,21.0
2400.0,10.5721873307,19.0
2420.0,10.4675689801,20.0
2440.0,10.3566115704,22.0
2460.0,10.3196829792,20.0
2480.0,10.3096650691,20.0
2500.0,10.2953902117,20.0
2520.0,10.3139805562,19.0
2540.0,10.3039666143,18.0
2560.0,10.3203020537,20.0
2580.0,10.3730366316,19.0
2600.0,10.4264965022,18.0
2620.0,10.5123323848,20.0
2640.0,10.6234420248,19.0
2660.0,10.7220387613,21.0
2680.0,10.7884512233,20.0
2700.0,10.8193195437,20.0
2720.0,10.8174545831,19.0
2740.0,10.7556506326,18.0
2760.0,10.6952268905,19.0
2780.0,10.6076726383,18.0
2800.0,10.5381914035,19.0
2820.0,10.4927901344,19.0
2840.0,10.4787513803,20.0
2860.0,10.5132998886,20.0
2880.0,10.6017834832,20.0
2900.0,10.6600515549,20.0
2920.0,10.9903722622,19.0
2940.0,12.1938688408,20.0
2960.0,12.4868198487,20.0
2980.0,14.4777471437,20.0
3000.0,16.8491514704,19.0
3020.0,26.5704175421,18.0
3040.0,26.3278748542,22.0
3060.0,34.8915100592,20.0
3080.0,42.8365240849,17.0
3100.0,47.1606434884,20.0
3120.0,53.7448272565,19.0
3140.0,56.4544763282,19.0
3160.0,62.6149169333,20.0
3180.0,61.3365637096,17.0
3200.0,57.9981523476,22.0
3220.0,72.7762369558,11.0
3240.0,56.9051919609,20.0
3260.0,62.7817158679,21.0
3280.0,71.6008062013,18.0
3300.0,70.7663879388,19.0
3320.0,68.049765473,20.0
3340.0,68.7442106175,19.0
3360.0,69.0060366171,18.0
3380.0,73.7153109487,19.0
3400.0,70.7523537805,27.0
3420.0,76.6344506543,18.0
3440.0,69.4915051038,23.0
3460.0,66.8486976606,22.0
3480.0,69.558970943,20.0
3500.0,67.8953873785,23.0
3520.0,70.3892223824,22.0
3540.0,71.3013778421,19.0
3560.0,69.2524756103,23.0
3580.0,69.983864324,22.0
3600.0,68.4469423687,24.0
