timestamps(s), speed (mph), count
20.0,70.8914957719,16.0
40.0,67.4145381548,17.0
60.0,63.0094391631,15.0
80.0,69.9480041059,17.0
100.0,67.8557837148,17.0
120.0,68.362639724,15.0
140.0,63.5217183304,17.0
160.0,70.4009721401,16.0
180.0,70.9771580028,17.0
200.0,71.5038659888,15.0
220.0,68.6245888123,16.0
240.0,68.853486187,18.0
260.0,69.0040487717,15.0
280.0,71.0133973266,16.0
300.0,67.4628918435,18.0
320.0,74.5450573821,24.0
340.0,71.6143422527,23.0
360.0,73.6588804495,23.0
380.0,68.4833583403,24.0
400.0,70.1497311802,20.0
420.0,73.1093836233,24.0
440.0,72.0530587338,26.0
460.0,65.5761258962,20.0
480.0,72.3674843086,23.0
500.0,74.6242284238,23.0
520.0,71.386054533,24.0
540.0,71.4113952094,24.0
560.0,70.0346103796,23.0
580.0,73.1583373842,26.0
600.0,72.7925534466,23.0
620.0,68.7535664779,20.0
640.0,70.4765737266,22.0
660.0,72.9559829828,20.0
680.0,70.8493234709,20.0
700.0,66.9007142875,18.0
720.0,69.9152964367,20.0
740.0,73.8196775346,19.0
760.0,70.6291459985,18.0
780.0,67.1547405421,19.0
800.0,67.5326051562,20.0
820.0,71.998961988,20.0
840.0,69.190864658,19.0
860.0,67.5322668724,20.0
880.0,66.2957303782,18.0
900.0,67.59889453,19.0
920.0,72.2687448923,18.0
940.0,73.0619502759,19.0
960.0,68.0510438239,18.0
980.0,68.6275699396,17.0
1000.0,71.8022045042,21.0
1020.0,68.362374974,19.0
1040.0,71.9336809061,20.0
1060.0,62.2836651989,18.0
1080.0,64.8661679682,20.0
1100.0,74.9526923854,19.0
1120.0,72.4526062675,19.0
1140.0,64.8351353525,18.0
1160.0,67.3043921374,18.0
1180.0,69.0222303474,16.0
1200.0,62.8432178618,20.0
1220.0,69.7547650061,20.0
1240.0,68.3152811028,17.0
1260.0,66.7094645753,19.0
1280.0,67.3340727716,20.0
1300.0,70.3601802713,16.0
1320.0,75.1866318301,18.0
1340.0,68.3191991782,18.0
1360.0,70.8036751664,17.0
1380.0,73.5765406636,20.0
1400.0,73.7610227913,18.0
1420.0,66.0545783837,22.0
1440.0,72.1640804064,19.0
1460.0,69.3440620453,19.0
1480.0,72.6914633438,19.0
1500.0,71.9297246147,20.0
1520.0,65.8774006413,23.0
