timestamps(s), speed (mph), count
20.0,74.5071034365,15.0
40.0,73.1998848701,17.0
60.0,74.4721152253,16.0
80.0,73.1595207445,18.0
100.0,67.3816881032,16.0
120.0,67.6590727553,17.0
140.0,74.1511083688,18.0
160.0,67.8851021997,16.0
180.0,62.1732330945,16.0
200.0,70.8062951519,18.0
220.0,69.5260004073,16.0
240.0,67.0997336456,18.0
260.0,68.2334167043,15.0
280.0,63.5754410767,18.0
300.0,75.1600437432,15.0
320.0,70.8758656195,17.0
340.0,71.6555223946,19.0
360.0,70.0145187248,19.0
380.0,66.8168380491,18.0
400.0,71.4656009014,19.0
420.0,69.0649876001,16.0
440.0,68.1238563654,21.0
460.0,66.8843199663,18.0
480.0,62.7665450257,20.0
500.0,69.3165789487,18.0
520.0,70.9482452996,18.0
540.0,69.5415855997,19.0
560.0,69.2535788221,21.0
580.0,73.1554110051,18.0
600.0,71.7643481229,18.0
620.0,67.9523242041,20.0
640.0,71.9419410679,19.0
660.0,68.2786749381,20.0
680.0,73.1959799708,20.0
700.0,65.9956173312,18.0
720.0,66.7623849284,16.0
740.0,72.1007325302,19.0
760.0,72.1303187428,20.0
780.0,69.956179246,19.0
800.0,71.4292293664,19.0
820.0,68.0694204006,18.0
840.0,68.6075854153,18.0
860.0,67.0254198761,19.0
880.0,68.9664163097,18.0
900.0,71.9393238064,17.0
920.0,71.2583110068,17.0
940.0,68.5608003307,18.0
960.0,71.8246368336,17.0
980.0,64.3822559251,18.0
1000.0,67.3736058804,17.0
1020.0,70.4194111995,18.0
1040.0,68.5395047433,17.0
1060.0,71.9201313191,15.0
1080.0,73.1710609581,18.0
1100.0,72.0465124374,16.0
1120.0,69.0794291807,17.0
1140.0,75.6047464259,18.0
1160.0,71.8471125686,15.0
1180.0,71.7554820341,18.0
1200.0,68.7093153814,17.0
1220.0,73.3900424968,16.0
1240.0,75.1653975089,19.0
1260.0,69.0761080148,17.0
1280.0,69.5782094345,16.0
1300.0,71.5820728209,18.0
1320.0,70.8246900326,16.0
1340.0,69.3389536425,16.0
1360.0,72.1327940281,18.0
1380.0,70.2431249225,17.0
1400.0,65.8490591625,17.0
1420.0,69.6515096515,17.0
1440.0,69.2853224049,15.0
1460.0,69.7154890159,18.0
1480.0,67.7055419214,16.0
1500.0,68.4214810099,16.0
1520.0,66.6069521135,19.0
1540.0,72.3565712941,18.0
1560.0,71.4376662986,17.0
1580.0,74.9751490059,17.0
1600.0,70.590690343,17.0
1620.0,70.5437850821,17.0
1640.0,71.81662661,17.0
1660.0,74.8488400655,17.0
1680.0,73.715884698,16.0
1700.0,72.3093901125,19.0
1720.0,70.2024808587,18.0
1740.0,71.8165849882,18.0
1760.0,65.7172362709,18.0
1780.0,66.5884218395,19.0
1800.0,69.4515867066,21.0
1820.0,68.6390368843,19.0
1840.0,66.0341214546,20.0
1860.0,66.402483654,18.0
1880.0,69.7865689802,20.0
1900.0,68.471866144,18.0
1920.0,71.833167842,20.0
1940.0,66.8301181027,19.0
1960.0,68.9001248576,19.0
1980.0,68.4085580793,18.0
2000.0,72.5927605955,22.0
2020.0,72.5158314297,21.0
2040.0,69.4873764278,18.0
2060.0,67.5955313435,18.0
2080.0,67.2484344401,19.0
2100.0,63.161987672,17.0
2120.0,68.8777268734,17.0
2140.0,70.0232294615,17.0
2160.0,69.1410670859,16.0
2180.0,71.309475304,18.0
2200.0,60.5276304838,18.0
2220.0,61.7656580828,16.0
2240.0,69.6706079684,18.0
2260.0,69.0187660874,18.0
2280.0,65.4334246237,16.0
2300.0,70.3409058402,17.0
2320.0,66.345075032,15.0
2340.0,69.1512941136,17.0
2360.0,65.9285942129,17.0
2380.0,65.2769733199,18.0
2400.0,75.0018111594,16.0
2420.0,70.0574001385,17.0
2440.0,68.8125234878,19.0
2460.0,68.0093473683,17.0
2480.0,69.5528744586,18.0
2500.0,72.4916470499,17.0
2520.0,66.044783913,15.0
2540.0,71.4345823105,18.0
2560.0,73.7384371835,19.0
2580.0,72.1143381567,18.0
2600.0,72.2045019974,17.0
2620.0,68.6026939371,17.0
2640.0,72.1937225955,18.0
2660.0,70.6187167819,17.0
2680.0,67.9362117413,18.0
2700.0,71.6753439145,18.0
2720.0,69.6428901606,16.0
2740.0,72.7709616742,17.0
2760.0,71.8825948784,16.0
2780.0,71.0579318543,19.0
2800.0,70.6652091591,17.0
2820.0,65.9005410716,18.0
2840.0,63.0011580315,20.0
2860.0,68.5158481993,19.0
2880.0,65.4086312152,17.0
2900.0,71.50476811,20.0
2920.0,72.913216026,20.0
2940.0,58.3937639419,18.0
2960.0,64.1783089245,19.0
2980.0,67.5091202597,18.0
3000.0,71.6496569669,17.0
3020.0,72.2458597605,19.0
3040.0,70.5681901706,19.0
3060.0,66.8407000491,21.0
3080.0,69.75289439,18.0
3100.0,64.6902149982,18.0
3120.0,71.9211837862,18.0
3140.0,74.3338246115,17.0
3160.0,73.1068982501,19.0
3180.0,69.3001270484,17.0
3200.0,65.310986332,19.0
3220.0,63.3982997624,17.0
3240.0,65.7841135823,18.0
3260.0,67.8536979914,17.0
3280.0,70.487684297,18.0
