timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,0.0,0.0
80.0,0.0,0.0
100.0,0.0,0.0
120.0,0.0,0.0
140.0,0.0,0.0
160.0,71.3425814304,5.0
180.0,70.5813655936,11.0
200.0,67.2339051874,13.0
220.0,61.6930218946,12.0
240.0,50.3562831837,15.0
260.0,28.5225715493,19.0
280.0,7.14264564196,6.0
300.0,0.637472649738,2.0
320.0,0.62191201377,3.0
340.0,0.617184545193,2.0
360.0,0.597233778988,2.0
380.0,0.597020796882,2.0
400.0,0.597020755369,2.0
420.0,0.597020755389,2.0
440.0,0.597020755394,2.0
460.0,0.597020755389,2.0
480.0,0.590380481614,1.0
500.0,0.587962771044,2.0
520.0,0.576019413486,3.0
540.0,0.564971375633,1.0
560.0,0.564971187159,2.0
580.0,0.56497137605,2.0
600.0,0.56497137606,2.0
620.0,0.56497137606,1.0
640.0,0.564971376055,2.0
660.0,0.56497137605,2.0
680.0,0.56497137605,2.0
700.0,0.56497137606,2.0
720.0,0.56497137606,2.0
740.0,0.564971376055,2.0
760.0,0.56497137606,2.0
780.0,0.564971376055,2.0
800.0,0.56497137605,2.0
820.0,0.56497137606,2.0
840.0,0.56497137606,2.0
860.0,0.564971376055,2.0
880.0,0.56497137605,2.0
900.0,0.564971376055,2.0
920.0,0.564971376055,2.0
940.0,0.564971376055,2.0
960.0,0.564971376055,2.0
980.0,0.592016779111,2.0
1000.0,0.606695045372,2.0
1020.0,0.60669411884,2.0
1040.0,0.606694119481,2.0
1060.0,0.606694119481,2.0
1080.0,0.606349727351,2.0
1100.0,0.597528036301,2.0
1120.0,0.597544205918,2.0
1140.0,0.597544207281,2.0
1160.0,0.597544207276,2.0
1180.0,0.597544207281,2.0
1200.0,0.597544207276,2.0
1220.0,0.926099962859,3.0
1240.0,7.96210227706,15.0
1260.0,10.2932647973,19.0
1280.0,10.8811380896,20.0
1300.0,10.7947674265,19.0
1320.0,10.2281041615,19.0
1340.0,10.4146817376,19.0
1360.0,10.7302466852,20.0
1380.0,10.4686405202,19.0
1400.0,10.4758983194,20.0
1420.0,10.0860013226,17.0
1440.0,10.130860886,18.0
1460.0,10.5308541468,20.0
1480.0,10.2762310698,18.0
1500.0,10.274982987,19.0
1520.0,10.8600579812,21.0
1540.0,10.7789011288,19.0
1560.0,10.9868834475,19.0
1580.0,10.6956734813,20.0
1600.0,10.5444103178,20.0
1620.0,10.5961439846,20.0
1640.0,10.6286740324,20.0
1660.0,10.6431192486,21.0
1680.0,10.8478118454,19.0
1700.0,11.1137520855,20.0
1720.0,10.8848430176,21.0
1740.0,10.5054593772,19.0
1760.0,10.9678953439,22.0
1780.0,10.7931831378,20.0
1800.0,10.5792298686,19.0
1820.0,10.3516802112,19.0
1840.0,10.408550371,20.0
1860.0,10.39460539,20.0
1880.0,10.4781241703,20.0
1900.0,10.5982879905,20.0
1920.0,10.5699971692,18.0
1940.0,10.4535072769,21.0
1960.0,10.6021527002,21.0
1980.0,10.6603893881,20.0
2000.0,10.8467512217,20.0
2020.0,10.9665021469,21.0
2040.0,10.9940923309,22.0
2060.0,10.9336123146,20.0
2080.0,10.9465509023,21.0
2100.0,10.640993206,18.0
2120.0,10.3988101574,20.0
2140.0,10.4322097839,19.0
2160.0,10.1896227033,19.0
2180.0,10.6354965473,20.0
2200.0,10.7060577612,19.0
2220.0,10.4601271978,20.0
2240.0,10.384574126,19.0
2260.0,10.4942517958,19.0
2280.0,10.0385560108,19.0
2300.0,10.7310287018,18.0
2320.0,10.8910086895,20.0
2340.0,10.811999048,18.0
2360.0,10.6931091395,19.0
2380.0,10.8819124306,20.0
2400.0,11.0752213596,19.0
2420.0,11.5711089162,20.0
2440.0,16.2110196941,26.0
2460.0,20.0932815877,26.0
2480.0,22.7798149326,25.0
2500.0,26.8059820642,32.0
2520.0,29.383248912,27.0
2540.0,31.538967433,28.0
2560.0,32.5652815844,27.0
2580.0,35.0296192384,34.0
2600.0,36.3454005667,30.0
2620.0,40.57496601,40.0
2640.0,43.0638417906,41.0
2660.0,43.7726615614,36.0
2680.0,50.2550313842,40.0
2700.0,49.070327479,34.0
2720.0,46.808078238,34.0
2740.0,47.5686558453,35.0
2760.0,47.8638175858,31.0
2780.0,47.2396754481,28.0
2800.0,48.5700902281,30.0
2820.0,49.8849138715,26.0
2840.0,48.9202847785,26.0
2860.0,48.4160325304,24.0
2880.0,48.7212387782,25.0
2900.0,51.1956112574,26.0
2920.0,51.0220559122,26.0
2940.0,50.097145698,24.0
2960.0,49.5337079268,28.0
2980.0,49.7045888759,26.0
3000.0,49.8369794906,25.0
3020.0,50.160803729,27.0
3040.0,49.9145346872,25.0
3060.0,47.7989281723,27.0
3080.0,49.4616128805,25.0
3100.0,50.0635575995,25.0
3120.0,50.5583668883,25.0
3140.0,50.7327795308,26.0
3160.0,50.9685788136,28.0
3180.0,51.5264674342,23.0
3200.0,53.0585305953,26.0
3220.0,55.4741450245,34.0
3240.0,54.9288459828,33.0
3260.0,53.711365428,32.0
3280.0,53.6572404327,32.0
3300.0,50.3273869712,36.0
3320.0,49.9261292284,35.0
3340.0,48.8564458105,35.0
3360.0,54.4474138813,28.0
3380.0,53.804909001,32.0
3400.0,52.0643826026,24.0
3420.0,51.9156379218,28.0
3440.0,51.312356002,22.0
3460.0,51.239918374,26.0
3480.0,51.1136814652,24.0
3500.0,53.0967244902,24.0
3520.0,52.7196661776,26.0
3540.0,52.3134665744,27.0
3560.0,52.717245252,25.0
3580.0,52.3292810477,27.0
3600.0,52.1958602254,24.0
