timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,0.0,-0.621504039776
40.0,0.0,0.0,-0.621504039776
60.0,0.0,0.0,-0.621504039776
80.0,0.0,0.0,-0.621504039776
100.0,1.0,360.0,77.0136730833
120.0,0.8,2700.0,69.6086206123
140.0,0.571428571429,2520.0,71.2154475686
160.0,0.740740740741,4860.0,70.9878527998
180.0,0.588235294118,3060.0,70.7972744949
200.0,0.608695652174,4140.0,69.7432699727
220.0,0.733333333333,2700.0,73.2211192673
240.0,0.703703703704,4860.0,65.7197982705
260.0,0.461538461538,2340.0,66.9137588144
280.0,0.782608695652,4140.0,65.0481496461
300.0,0.666666666667,4320.0,69.259485687
320.0,0.764705882353,3060.0,74.9799039268
340.0,0.619047619048,3780.0,66.276644983
360.0,0.789473684211,3420.0,66.8511808897
380.0,0.55,3600.0,65.6786185771
400.0,0.6,4500.0,69.5044753466
420.0,0.294117647059,3060.0,70.7163501907
440.0,0.125,2880.0,70.6241954753
460.0,0.142857142857,2520.0,65.2350649546
480.0,0.05,3600.0,66.9025003903
500.0,0.142857142857,3780.0,67.1134737636
520.0,0.0,2880.0,67.072813332
540.0,0.0,2520.0,65.7899649618
560.0,0.0,2700.0,60.9520904679
580.0,0.111111111111,3240.0,64.8419157559
600.0,0.0625,2880.0,63.5053550513
620.0,0.1,3600.0,64.208474347
640.0,0.0909090909091,1980.0,68.7043131796
660.0,0.0,3060.0,72.4961701792
680.0,0.0,3060.0,59.5745011767
700.0,0.157894736842,3420.0,64.0868576602
720.0,0.55,3600.0,69.3200181302
740.0,0.5,3600.0,68.2424053929
760.0,0.588235294118,3060.0,68.1773842012
780.0,0.684210526316,3420.0,70.5868464962
800.0,0.470588235294,3060.0,72.8225657336
820.0,0.4,2700.0,68.4085622362
840.0,0.666666666667,4320.0,70.306405196
860.0,0.181818181818,1980.0,67.6883894705
880.0,0.652173913043,4140.0,68.5658766255
900.0,0.444444444444,3240.0,65.1931075847
920.0,0.652173913043,4140.0,62.2000950835
940.0,0.642857142857,2520.0,57.7467508778
960.0,0.526315789474,3420.0,43.5789656764
980.0,0.642857142857,2520.0,27.9879838147
1000.0,0.666666666667,1080.0,8.20369080629
1020.0,0.5,360.0,0.585930623111
1040.0,0.5,360.0,0.585449043551
1060.0,0.5,360.0,0.585512548211
1080.0,1.0,360.0,0.580533281348
1100.0,0.5,360.0,0.57538428519
1120.0,0.0,360.0,0.575387583721
1140.0,0.5,360.0,0.575456958879
1160.0,1.0,360.0,0.575461432376
1180.0,0.5,360.0,0.575465208754
1200.0,1.0,360.0,0.575467549967
1220.0,0.5,360.0,0.575468197607
1240.0,1.0,360.0,0.575468225333
1260.0,1.0,360.0,0.575468226149
1280.0,0.0,360.0,0.575468226154
1300.0,0.0,360.0,0.575468226154
1320.0,0.0,360.0,0.575468226157
1340.0,0.5,360.0,0.575468226154
1360.0,0.5,360.0,0.575468226157
1380.0,1.0,360.0,0.575468226078
1400.0,1.0,360.0,0.575110561513
1420.0,1.0,360.0,0.569937382513
1440.0,0.5,360.0,0.569369134296
1460.0,0.0,360.0,0.726089820189
1480.0,0.5,1080.0,3.67237241028
1500.0,0.666666666667,2700.0,6.50843904317
1520.0,0.5,3600.0,8.71101616014
1540.0,0.545454545455,3960.0,9.9722713389
1560.0,0.47619047619,3780.0,10.4112072644
1580.0,0.625,4320.0,10.5624627807
1600.0,0.3,3600.0,10.6746687778
1620.0,0.583333333333,4320.0,10.638476584
1640.0,0.565217391304,4140.0,10.6493497394
1660.0,0.68,4500.0,10.6958510478
1680.0,0.454545454545,3960.0,10.7794717595
1700.0,0.428571428571,3780.0,10.8145232516
1720.0,0.35,3600.0,10.8111301424
1740.0,0.2,3600.0,10.7784790719
1760.0,0.0,3240.0,10.6766199085
1780.0,0.210526315789,3420.0,10.5394837551
1800.0,0.35,3600.0,10.4452929904
1820.0,0.157894736842,3420.0,10.4529600984
1840.0,0.166666666667,3240.0,10.5952439477
1860.0,0.190476190476,3780.0,10.8299014085
1880.0,0.315789473684,3420.0,10.9750611674
1900.0,0.15,3600.0,11.029454196
1920.0,0.210526315789,3420.0,11.0682884416
1940.0,0.238095238095,3780.0,11.1111062639
1960.0,0.64,4500.0,11.1702865759
1980.0,0.72,4500.0,11.1757462328
2000.0,0.68,4500.0,11.1801933943
2020.0,0.896551724138,5220.0,11.086490046
2040.0,1.0,5580.0,11.0608973631
2060.0,1.0,5400.0,11.0037080891
2080.0,1.0,5400.0,10.9530744995
2100.0,1.0,5580.0,11.0236852868
2120.0,1.0,5400.0,10.9648388978
2140.0,1.0,5220.0,10.7561092497
2160.0,1.0,5400.0,10.6724796443
2180.0,1.0,5400.0,10.7917829798
2200.0,1.0,5580.0,10.9440998644
2220.0,0.846153846154,4680.0,10.9083235646
2240.0,0.608695652174,4140.0,10.7198847882
2260.0,0.3,3600.0,10.5125788274
2280.0,0.285714285714,3780.0,10.4098897298
2300.0,0.210526315789,3420.0,10.4442579565
2320.0,0.315789473684,3420.0,10.5168250179
2340.0,0.3,3600.0,10.5808575933
2360.0,0.333333333333,3780.0,10.6548822987
2380.0,0.333333333333,3780.0,10.6297211216
2400.0,0.157894736842,3420.0,10.6216259241
2420.0,0.333333333333,3780.0,10.6743689076
2440.0,0.3,3600.0,10.7605334243
2460.0,0.428571428571,3780.0,10.8426517273
2480.0,0.2,3600.0,10.98230874
2500.0,0.583333333333,4320.0,11.1438829213
2520.0,0.64,4500.0,11.3260887287
2540.0,0.583333333333,4320.0,11.4063366026
2560.0,0.821428571429,5040.0,11.5794635242
2580.0,0.5,4320.0,12.0000828645
2600.0,0.703703703704,4860.0,12.6986774754
