timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,0.0,-0.621504039776
40.0,0.0,0.0,-0.621504039776
60.0,0.0,720.0,74.5866439316
80.0,0.0,2880.0,65.7221542195
100.0,0.0,3060.0,65.0561668172
120.0,0.0,2340.0,67.8842770334
140.0,0.0,2880.0,57.146019834
160.0,0.0,3600.0,57.8804077921
180.0,0.0,2520.0,63.6864599041
200.0,0.0,2880.0,67.1666377417
220.0,0.0,3420.0,65.951545528
240.0,0.0,2880.0,65.7917291579
260.0,0.0,3600.0,64.4454379141
280.0,0.0,2880.0,67.2619410064
300.0,0.0,3060.0,66.8612970589
320.0,0.0,2700.0,65.7995483146
340.0,0.0,3240.0,68.3473626037
360.0,0.0,2880.0,67.5856276228
380.0,0.0,3420.0,64.8026241496
400.0,0.0,2700.0,68.8132467152
420.0,0.0,3060.0,67.2807349827
440.0,0.0,3420.0,64.9223458945
460.0,0.0,3240.0,63.6382963823
480.0,0.0,3060.0,66.0440888354
500.0,0.0,2880.0,65.9663494899
520.0,0.0,2880.0,67.7306881316
540.0,0.0,3060.0,66.0215182401
560.0,0.0,2700.0,66.7108741978
580.0,0.0,3420.0,65.3389629611
600.0,0.0,2160.0,65.3290876072
620.0,0.0,3600.0,65.1316544216
640.0,0.0,2880.0,64.8692702146
660.0,0.0,3420.0,64.7454245546
680.0,0.0,2340.0,66.5142941133
700.0,0.0,3420.0,64.1039422685
720.0,0.0,3060.0,63.720269798
740.0,0.0,2700.0,67.4087587494
760.0,0.0,3240.0,64.7717692722
780.0,0.0,3060.0,61.9325725491
800.0,0.0,3060.0,65.981434476
820.0,0.0,2340.0,65.9036680788
840.0,0.0,3420.0,64.8932976737
860.0,0.0,3060.0,64.4529542062
880.0,0.0,3420.0,65.1579032965
900.0,0.0,2700.0,66.4955473111
920.0,0.0,3420.0,65.9363470368
940.0,0.0,2880.0,69.1523401201
960.0,0.0,3240.0,66.8113328577
980.0,0.0,2520.0,65.5783493246
1000.0,0.0,2700.0,59.0457300145
1020.0,0.0,3420.0,62.4549739243
1040.0,0.0,3060.0,64.0733618009
1060.0,0.0,3060.0,66.2303752924
1080.0,0.0,2880.0,60.335264597
1100.0,0.0,3240.0,63.7749070849
1120.0,0.0,3060.0,69.4632930868
1140.0,0.0,2520.0,67.8002112677
1160.0,0.0,2700.0,65.4829390112
1180.0,0.0,3420.0,61.3594804419
1200.0,0.0,2880.0,62.2480103132
1220.0,0.0,3420.0,57.9684651865
1240.0,0.0,3060.0,55.9571763153
1260.0,0.0,2700.0,62.3537931023
1280.0,0.0,3600.0,66.679488241
1300.0,0.0,2700.0,67.0250675895
1320.0,0.0,2880.0,66.6409285926
1340.0,0.0,3060.0,68.1152379803
1360.0,0.0,2880.0,66.3679315251
1380.0,0.0,3240.0,65.7073640567
1400.0,0.0,3420.0,66.9925793125
1420.0,0.0,2520.0,65.8833507042
1440.0,0.0,3600.0,61.8844259455
1460.0,0.0,2340.0,64.4930605991
1480.0,0.0,3420.0,65.5277162123
1500.0,0.0,3240.0,66.4129961055
1520.0,0.0,2880.0,66.0460912329
1540.0,0.0,3060.0,66.4770123448
1560.0,0.0,2880.0,63.0150845416
1580.0,0.0,3060.0,69.938440167
1600.0,0.0,2700.0,63.3523274922
1620.0,0.0,2880.0,59.3078634864
1640.0,0.0,3240.0,58.367777153
1660.0,0.0,3060.0,55.2636059548
1680.0,0.0,2880.0,56.5984652195
1700.0,0.0,3420.0,57.0421382851
1720.0,0.0,3060.0,49.8623068658
1740.0,0.0,2340.0,44.2203494928
1760.0,0.0,2880.0,33.9999514191
1780.0,0.0,2160.0,18.1570295237
1800.0,0.0,360.0,1.73847233511
1820.0,0.0,360.0,2.08406536817
1840.0,0.0,360.0,0.799092522583
1860.0,0.0,360.0,1.97845399881
1880.0,0.0,360.0,1.57083052595
1900.0,0.0,360.0,1.21863292207
1920.0,0.0,360.0,1.49440259202
1940.0,0.0,360.0,1.25501417026
1960.0,0.0,360.0,1.3599339924
1980.0,0.0,720.0,1.10860861864
2000.0,0.0,1260.0,3.09264892
2020.0,0.0,1980.0,5.2899298757
2040.0,0.0,2520.0,7.02755614617
2060.0,0.0,2880.0,8.32419735848
2080.0,0.0,3060.0,9.2257816702
2100.0,0.0,3060.0,9.76959507492
2120.0,0.0,3060.0,10.1436807981
2140.0,0.0,3240.0,10.345773225
2160.0,0.0,3240.0,10.47819234
2180.0,0.0,3240.0,10.5529173186
2200.0,0.0,3240.0,10.5854578915
2220.0,0.0,3240.0,10.5869241127
2240.0,0.0,3060.0,10.5636564567
2260.0,0.0,3060.0,10.5387560448
2280.0,0.0,3240.0,10.4890126225
2300.0,0.0,3240.0,10.4381969305
2320.0,0.0,3060.0,10.41049026
2340.0,0.0,3240.0,10.3750496354
2360.0,0.0,2880.0,10.3693556176
2380.0,0.0,3240.0,10.3797823318
2400.0,0.0,3240.0,10.4037541751
2420.0,0.0,3060.0,10.4414115004
2440.0,0.0,3240.0,10.4625510729
2460.0,0.0,3060.0,10.4782446264
2480.0,0.0,3240.0,10.4986374167
2500.0,0.0,3060.0,10.5080072027
2520.0,0.0,3240.0,10.4883726101
2540.0,0.0,3240.0,10.4699357788
2560.0,0.0,3240.0,10.4502918965
2580.0,0.0,3060.0,10.4435964845
2600.0,0.0,3240.0,10.4220598456
2620.0,0.0,3240.0,10.4156747742
2640.0,0.0,3060.0,10.4227188723
2660.0,0.0,3060.0,10.4088892816
2680.0,0.0,3240.0,10.4233496132
2700.0,0.0,3060.0,10.4372282926
2720.0,0.0,3240.0,10.4415846375
2740.0,0.0,3060.0,10.4536320706
2760.0,0.0,3240.0,10.475945767
