timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,0.0,0.0
80.0,0.0,0.0
100.0,76.99706355,4.0
120.0,72.723220098,18.0
140.0,75.6649082875,17.0
160.0,71.9026688135,18.0
180.0,72.4398788823,20.0
200.0,67.1938973137,17.0
220.0,70.3483058485,21.0
240.0,66.9114106951,26.0
260.0,70.4823762679,17.0
280.0,66.7445178034,22.0
300.0,65.6303899731,24.0
320.0,73.3293227371,16.0
340.0,71.7855128568,21.0
360.0,70.3795052106,24.0
380.0,70.567273919,21.0
400.0,64.6370077814,22.0
420.0,67.9584433597,20.0
440.0,73.267129901,17.0
460.0,58.1999247457,27.0
480.0,66.3186944286,12.0
500.0,70.2909768762,24.0
520.0,65.7393997258,24.0
540.0,68.7058547134,22.0
560.0,73.617679459,15.0
580.0,67.0485123983,31.0
600.0,68.5348524341,19.0
620.0,69.2003415074,23.0
640.0,70.999956672,21.0
660.0,65.6265804101,20.0
680.0,72.3079408047,18.0
700.0,64.6819436825,25.0
720.0,66.5196189076,18.0
740.0,70.1509022104,17.0
760.0,68.087874212,18.0
780.0,67.1066375732,17.0
800.0,63.4417314997,15.0
820.0,65.8146109922,17.0
840.0,63.9855762623,15.0
860.0,59.0526603796,17.0
880.0,48.9373301809,18.0
900.0,37.1381144537,18.0
920.0,24.3450607606,15.0
940.0,6.77640664368,6.0
960.0,0.626262330071,2.0
980.0,0.627416157642,2.0
1000.0,0.622546834058,2.0
1020.0,0.62266104205,2.0
1040.0,0.622661502621,2.0
1060.0,0.622661803176,2.0
1080.0,0.622661915358,2.0
1100.0,0.622661875665,2.0
1120.0,0.622661874149,2.0
1140.0,0.631418139904,3.0
1160.0,0.622661874114,2.0
1180.0,0.622661874142,2.0
1200.0,0.622660728275,2.0
1220.0,0.621022507953,2.0
1240.0,0.61868985113,2.0
1260.0,0.614780096702,2.0
1280.0,0.614530654691,2.0
1300.0,0.614530694285,2.0
1320.0,0.614531072456,2.0
1340.0,0.614530614434,2.0
1360.0,0.614530787533,2.0
1380.0,0.614530796868,2.0
1400.0,0.623911487407,3.0
1420.0,0.614633599937,2.0
1440.0,0.67297499946,2.0
1460.0,3.48466450757,6.0
1480.0,6.45442265296,14.0
1500.0,8.72374064079,17.0
1520.0,10.1779122296,18.0
1540.0,10.8308624586,19.0
1560.0,11.1279130796,19.0
1580.0,11.1531389628,18.0
1600.0,11.1610147175,20.0
1620.0,11.0283000176,20.0
1640.0,10.8532837092,23.0
1660.0,10.6001436591,20.0
1680.0,10.5702344261,22.0
1700.0,10.496022702,23.0
1720.0,10.4669944414,21.0
1740.0,10.4611073699,18.0
1760.0,10.4028481418,21.0
1780.0,10.2796239821,22.0
1800.0,10.2749282558,22.0
1820.0,10.4214493921,23.0
1840.0,10.5768288734,21.0
1860.0,10.6316425084,21.0
1880.0,10.5351678452,20.0
1900.0,10.5062436404,22.0
1920.0,10.4994026611,20.0
1940.0,10.5140578654,22.0
1960.0,10.5751927278,20.0
1980.0,10.5691174285,21.0
2000.0,10.5940121031,20.0
2020.0,10.6185641232,22.0
2040.0,10.5969260083,22.0
2060.0,10.6442095195,22.0
2080.0,10.6835410172,21.0
2100.0,10.6762792679,23.0
2120.0,10.6739544799,23.0
2140.0,10.6484033634,24.0
2160.0,10.612028006,24.0
2180.0,10.5182411618,21.0
2200.0,10.4620406209,24.0
2220.0,10.3771667182,21.0
2240.0,10.3814345137,23.0
2260.0,10.5318907623,22.0
2280.0,10.5634096437,19.0
2300.0,10.6410920583,20.0
2320.0,10.6988851228,20.0
2340.0,10.8157666848,20.0
2360.0,10.9447054435,19.0
2380.0,11.042108965,20.0
2400.0,11.0441944523,20.0
2420.0,10.9414412421,19.0
2440.0,10.858586451,18.0
2460.0,10.8063382163,19.0
2480.0,10.7483489625,18.0
2500.0,10.693964752,20.0
2520.0,10.6514441708,18.0
2540.0,10.6501570542,18.0
2560.0,10.668918447,19.0
2580.0,10.6738501334,22.0
2600.0,10.6933255831,20.0
2620.0,10.7083365299,19.0
2640.0,10.7963665784,22.0
2660.0,11.1024756528,19.0
2680.0,11.4269111061,23.0
2700.0,12.0235505915,23.0
2720.0,12.5745052178,22.0
2740.0,13.0110059893,23.0
2760.0,13.5640267519,21.0
2780.0,14.0035608001,24.0
2800.0,14.3741307413,24.0
2820.0,14.729768743,28.0
2840.0,14.9346637932,28.0
2860.0,15.3167541442,28.0
2880.0,15.6926302112,33.0
2900.0,15.8739999686,29.0
2920.0,15.8139140655,29.0
2940.0,16.0484806714,32.0
2960.0,16.2065150991,27.0
2980.0,16.2860172149,30.0
3000.0,16.4582887869,29.0
3020.0,16.5109826849,28.0
3040.0,16.6281291705,25.0
3060.0,16.7765479559,26.0
3080.0,16.924669575,28.0
3100.0,16.9572109185,28.0
3120.0,17.0695928441,29.0
3140.0,17.2061172561,28.0
3160.0,17.2678207363,29.0
3180.0,17.3197110703,30.0
3200.0,17.5113941823,26.0
3220.0,17.3777710062,27.0
3240.0,17.4202266766,24.0
3260.0,17.308905323,24.0
3280.0,17.4408008482,25.0
3300.0,17.5140166419,25.0
3320.0,17.3781238042,25.0
3340.0,17.4307747924,24.0
3360.0,17.5613637558,26.0
3380.0,17.65803563,26.0
3400.0,17.8784429825,25.0
3420.0,19.3082915751,20.0
3440.0,24.377711666,20.0
3460.0,26.6149160309,21.0
3480.0,34.0483039801,19.0
3500.0,41.5995412368,19.0
3520.0,58.5055376087,15.0
3540.0,65.5889012537,20.0
3560.0,62.6082248613,18.0
3580.0,64.9831206532,21.0
3600.0,63.2524887017,15.0
