timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,0.0,0.0
80.0,0.0,0.0
100.0,0.0,0.0
120.0,71.6792623038,10.0
140.0,67.8683318795,17.0
160.0,60.0430143552,19.0
180.0,71.679993462,17.0
200.0,68.6877426463,14.0
220.0,66.6314529552,20.0
240.0,64.5609998804,16.0
260.0,66.1697822932,21.0
280.0,69.1461642473,18.0
300.0,70.9430986984,16.0
320.0,66.9619456528,20.0
340.0,68.4197210519,17.0
360.0,67.1121801657,20.0
380.0,65.3951820099,16.0
400.0,63.6185616773,17.0
420.0,68.4669499979,16.0
440.0,69.5996524763,18.0
460.0,70.7093916331,15.0
480.0,62.2719611719,18.0
500.0,65.3827507807,20.0
520.0,62.8227460091,9.0
540.0,63.4768947399,21.0
560.0,63.5630781,17.0
580.0,69.5211887404,16.0
600.0,67.3684160437,16.0
620.0,64.4697976903,16.0
640.0,63.4364222251,20.0
660.0,64.1520042602,20.0
680.0,69.6871762883,15.0
700.0,66.9501861656,17.0
720.0,68.4019165607,20.0
740.0,66.8671713813,11.0
760.0,65.3349545038,20.0
780.0,63.3453265935,20.0
800.0,66.421186894,20.0
820.0,71.5572716738,11.0
840.0,64.5752018837,22.0
860.0,68.682842985,13.0
880.0,67.8194542574,16.0
900.0,64.1045957133,18.0
920.0,65.0333273421,16.0
940.0,60.4801842697,20.0
960.0,52.933336854,17.0
980.0,45.336963245,12.0
1000.0,39.0808244172,16.0
1020.0,22.5938779216,15.0
1040.0,2.67194427465,4.0
1060.0,0.600257125387,2.0
1080.0,0.604890204519,2.0
1100.0,0.630399627182,2.0
1120.0,0.677484177347,2.0
1140.0,1.00722138902,2.0
1160.0,2.44188394603,2.0
1180.0,0.824287875148,2.0
1200.0,1.9588595423,2.0
1220.0,2.29345070137,2.0
1240.0,0.992632383279,2.0
1260.0,1.17522456675,2.0
1280.0,2.44996907706,2.0
1300.0,1.18210356482,2.0
1320.0,1.62826858933,2.0
1340.0,0.427007909317,2.0
1360.0,2.46498189159,2.0
1380.0,0.631638765331,2.0
1400.0,1.24723634217,2.0
1420.0,1.12913674424,2.0
1440.0,0.900409570149,2.0
1460.0,0.65588593791,2.0
1480.0,0.597813110199,2.0
1500.0,0.600352125666,2.0
1520.0,0.603167894473,2.0
1540.0,2.35262847807,5.0
1560.0,4.89618766525,10.0
1580.0,7.23425233986,14.0
1600.0,8.76363291001,18.0
1620.0,9.73945531619,18.0
1640.0,10.3114459889,20.0
1660.0,10.604422521,19.0
1680.0,10.6615956051,20.0
1700.0,10.62691781,20.0
1720.0,10.5198105644,18.0
1740.0,10.3978798364,20.0
1760.0,10.3121483211,20.0
1780.0,10.2883381302,19.0
1800.0,10.305011999,20.0
1820.0,10.3508248181,21.0
1840.0,10.42730397,18.0
1860.0,10.5284562734,19.0
1880.0,10.5972507745,20.0
1900.0,10.6122279886,21.0
1920.0,10.6036076681,20.0
1940.0,10.620269752,20.0
1960.0,10.5588141234,21.0
1980.0,10.5333418873,19.0
2000.0,10.5102712774,20.0
2020.0,10.5538111215,19.0
2040.0,10.5652585271,20.0
2060.0,10.5832904086,21.0
2080.0,10.5830161418,19.0
2100.0,10.5689225108,20.0
2120.0,10.5556830498,20.0
2140.0,10.5487796527,20.0
2160.0,10.5262313539,20.0
2180.0,10.5449293736,20.0
2200.0,10.5721455164,18.0
2220.0,10.5871751409,20.0
2240.0,10.5913746104,21.0
2260.0,10.5631959335,19.0
2280.0,10.5548577806,20.0
2300.0,10.5405135838,19.0
2320.0,10.5482179645,19.0
2340.0,10.5708428902,19.0
2360.0,10.5666933378,18.0
2380.0,10.543235638,19.0
2400.0,10.5097424354,19.0
2420.0,10.5121339462,17.0
2440.0,10.5293847227,18.0
2460.0,10.5906567308,18.0
2480.0,10.695117443,19.0
2500.0,10.7045788915,19.0
2520.0,10.7685275286,18.0
2540.0,10.7908020922,19.0
2560.0,10.7759270984,19.0
2580.0,10.7903322992,19.0
2600.0,10.8296693727,18.0
2620.0,10.8548579469,18.0
2640.0,10.8571892283,21.0
2660.0,10.8232325949,18.0
2680.0,10.764165216,19.0
2700.0,10.851344326,19.0
2720.0,11.0666535592,19.0
2740.0,11.5214643534,20.0
2760.0,12.0937822885,20.0
2780.0,12.5659216537,20.0
2800.0,13.011948059,21.0
2820.0,13.4303820666,20.0
2840.0,13.8482342417,21.0
2860.0,14.1529685846,22.0
2880.0,14.4181301083,20.0
2900.0,14.5606980087,21.0
2920.0,14.8425933471,22.0
2940.0,15.0216080824,22.0
2960.0,15.1268179623,22.0
2980.0,15.2909663023,21.0
3000.0,15.3717286083,22.0
3020.0,15.4097450036,22.0
3040.0,15.5668976913,21.0
3060.0,15.6594638958,25.0
3080.0,15.7928495908,21.0
3100.0,15.8019862879,23.0
3120.0,15.9212811392,20.0
3140.0,15.9981679228,22.0
3160.0,16.0445753863,22.0
3180.0,16.0988566379,21.0
3200.0,16.1765431615,22.0
3220.0,16.1371809507,21.0
3240.0,16.2472821099,21.0
3260.0,16.2733733361,22.0
3280.0,16.3142205529,22.0
3300.0,16.3234547716,21.0
3320.0,16.3319557862,22.0
3340.0,16.481581262,21.0
3360.0,16.4642607113,22.0
3380.0,16.5670357069,20.0
3400.0,16.5785683772,21.0
3420.0,16.5372185143,21.0
3440.0,16.5811844845,21.0
3460.0,16.6031707874,21.0
3480.0,16.6067463013,20.0
3500.0,16.6259629424,23.0
3520.0,16.7054389007,23.0
3540.0,16.7675739807,22.0
3560.0,16.7986439347,21.0
3580.0,16.8639356344,22.0
3600.0,16.7863985379,23.0
