timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.1875,2880.0,71.1897301605
40.0,0.125,2880.0,61.7719668556
60.0,0.222222222222,3240.0,68.2925567274
80.0,0.166666666667,3240.0,67.9329353637
100.0,0.1875,2880.0,70.2472704822
120.0,0.176470588235,3060.0,67.8827023313
140.0,0.1875,2880.0,60.466522407
160.0,0.176470588235,3060.0,66.1560308854
180.0,0.125,2880.0,72.0074787474
200.0,0.1875,2880.0,70.0415370912
220.0,0.235294117647,3060.0,75.2430334165
240.0,0.176470588235,3060.0,68.7522705853
260.0,0.176470588235,3060.0,57.9238251658
280.0,0.176470588235,3060.0,66.8671424506
300.0,0.176470588235,3060.0,66.45166865
320.0,0.0,3060.0,65.426382957
340.0,0.0,2880.0,71.5659753671
360.0,0.0,3060.0,68.4624276173
380.0,0.176470588235,3060.0,69.871842333
400.0,0.1875,2880.0,64.6289058743
420.0,0.263157894737,3420.0,59.2554724389
440.0,0.125,2880.0,64.3680098382
460.0,0.166666666667,3240.0,67.2823795421
480.0,0.0625,2880.0,66.6444942623
500.0,0.235294117647,3060.0,64.8873626904
520.0,0.25,3600.0,65.3318928907
540.0,0.125,2880.0,71.8588274883
560.0,0.0588235294118,3060.0,64.384787633
580.0,0.263157894737,3420.0,64.4362543009
600.0,0.0588235294118,3060.0,70.2538370105
620.0,0.125,2880.0,71.9021744174
640.0,0.263157894737,3420.0,73.9684112642
660.0,0.176470588235,3060.0,69.7594038625
680.0,0.210526315789,3420.0,65.3433764232
700.0,0.0588235294118,3060.0,74.5096025866
720.0,0.176470588235,3060.0,66.2081806468
740.0,0.111111111111,3240.0,71.586062214
760.0,0.176470588235,3060.0,74.6177366999
780.0,0.176470588235,3060.0,69.6161668031
800.0,0.176470588235,3060.0,68.5496024943
820.0,0.222222222222,3240.0,75.6499853661
840.0,0.166666666667,3240.0,72.5682310224
860.0,0.235294117647,3060.0,66.6114330903
880.0,0.294117647059,3060.0,68.9724554999
900.0,0.235294117647,3060.0,74.2122422399
920.0,0.235294117647,3060.0,66.8955703963
940.0,0.222222222222,3240.0,64.4532612642
960.0,0.388888888889,3240.0,66.3069574113
980.0,0.277777777778,3240.0,69.2858102389
1000.0,0.35,3600.0,69.4104584699
1020.0,0.1875,2880.0,70.7687844852
1040.0,0.3125,2880.0,66.4637193067
1060.0,0.368421052632,3420.0,73.8802940267
1080.0,0.25,2880.0,73.0660462022
1100.0,0.35,3600.0,75.6216792023
1120.0,0.277777777778,3240.0,70.1838019586
1140.0,0.1875,2880.0,74.272833143
1160.0,0.333333333333,3240.0,65.3582314235
1180.0,0.235294117647,3060.0,65.6257192252
1200.0,0.294117647059,3060.0,62.6280866585
1220.0,0.176470588235,3060.0,68.2476706158
1240.0,0.0666666666667,2700.0,70.4025600696
1260.0,0.0,3060.0,68.1331376682
1280.0,0.0,2700.0,69.9102556878
1300.0,0.0555555555556,3240.0,66.2245937978
1320.0,0.0588235294118,3060.0,69.6778065401
1340.0,0.0,3060.0,67.2343453734
